"kind","test","n","value","extra"
"loglog_slope","DEF.poly3",NA,0.516686496053478,32
"loglog_slope","DEF.stukel",NA,0.558313933586635,32
"loglog_slope","EF",NA,0.305201228278577,32
"loglog_slope","glm_fit",NA,0.710125253292552,32
"loglog_slope","HL",NA,0.595366173411834,32
"loglog_slope","le-Cessie",NA,2.93562601089317,16
"loglog_slope","Osius-Rojek",NA,0.428701807892274,32
"loglog_slope","Pigeon-Heyse",NA,0.279040681813747,32
"loglog_slope","Pulkstenis-Robinson",NA,0.513973091039062,32
"loglog_slope","Stukel",NA,0.354609118840636,32
"loglog_slope","Tsiatis",NA,0.920007874649259,32
"loglog_slope","Xie",NA,1.21613612829065,32
"stukel_over_ef","Stukel/EF",200,0.76448683168236,0.00226850000012746
"stukel_over_ef","Stukel/EF",500,0.75934194314798,0.00237245000016628
"stukel_over_ef","Stukel/EF",1000,0.67667445774433,0.00294575000009445
"stukel_over_ef","Stukel/EF",2000,0.789781309847468,0.00380372500006843
"stukel_over_ef","Stukel/EF",5000,0.753220950934562,0.00373430000013286
"stukel_over_ef","Stukel/EF",10000,0.784576892031685,0.0056600750002076
"stukel_over_ef","Stukel/EF",20000,0.786600939875554,0.00880027500016921
"stukel_over_ef","Stukel/EF",50000,1.18967522718796,0.0165434750000486
