"n","p","test","rep","seed","time_sec","mem_bytes","glm_iter","refit_iter","refit_converged","n_events","event_rate"
200,4,"DEF.poly3",1,20360707,0.0066913000000568,107872,4,NA,NA,91,0.455
200,4,"DEF.poly3",2,20360708,0.00413790000015979,107872,4,NA,NA,96,0.48
200,4,"DEF.poly3",3,20360709,0.00537240000016936,107872,4,NA,NA,104,0.52
200,4,"DEF.poly3",4,20360710,0.00636940000026698,107872,4,NA,NA,103,0.515
200,4,"DEF.poly3",5,20360711,0.00481380000019271,107872,4,NA,NA,90,0.45
200,4,"DEF.poly3",6,20360712,0.00428800000008778,107872,4,NA,NA,88,0.44
200,4,"DEF.poly3",7,20360713,0.0106957000000421,107872,4,NA,NA,104,0.52
200,4,"DEF.poly3",8,20360714,0.0116299000001163,107872,4,NA,NA,90,0.45
200,4,"DEF.poly3",9,20360715,0.0112036000000444,107872,4,NA,NA,96,0.48
200,4,"DEF.poly3",10,20360716,0.010922599999958,107872,4,NA,NA,101,0.505
200,4,"DEF.poly3",11,20360717,0.0043046000000686,107872,4,NA,NA,113,0.565
200,4,"DEF.poly3",12,20360718,0.0125123000000258,107872,4,NA,NA,112,0.56
200,4,"DEF.poly3",13,20360719,0.0177817000001141,107872,4,NA,NA,110,0.55
200,4,"DEF.poly3",14,20360720,0.0105838000001768,107872,4,NA,NA,102,0.51
200,4,"DEF.poly3",15,20360721,0.0105118000001312,107872,4,NA,NA,96,0.48
200,4,"DEF.poly3",16,20360722,0.00381040000024768,107872,4,NA,NA,94,0.47
200,4,"DEF.poly3",17,20360723,0.0148581000003105,107872,4,NA,NA,108,0.54
200,4,"DEF.poly3",18,20360724,0.015456100000165,107872,4,NA,NA,91,0.455
200,4,"DEF.poly3",19,20360725,0.0108557000003202,107872,4,NA,NA,109,0.545
200,4,"DEF.poly3",20,20360726,0.0116143000002467,107872,4,NA,NA,96,0.48
200,4,"DEF.poly3",21,20360727,0.00364040000022214,107872,4,NA,NA,107,0.535
200,4,"DEF.poly3",22,20360728,0.01158310000028,107872,4,NA,NA,111,0.555
200,4,"DEF.poly3",23,20360729,0.0112812000002123,107872,4,NA,NA,102,0.51
200,4,"DEF.poly3",24,20360730,0.0163303000001633,107872,4,NA,NA,102,0.51
200,4,"DEF.poly3",25,20360731,0.0198047000001225,107872,4,NA,NA,113,0.565
200,4,"DEF.poly3",26,20360732,0.00418980000017655,107872,4,NA,NA,86,0.43
200,4,"DEF.poly3",27,20360733,0.00468270000010307,107872,3,NA,NA,107,0.535
200,4,"DEF.poly3",28,20360734,0.010326200000236,107872,4,NA,NA,95,0.475
200,4,"DEF.poly3",29,20360735,0.0129052000002048,107872,4,NA,NA,94,0.47
200,4,"DEF.poly3",30,20360736,0.00337630000012723,107896,3,NA,NA,108,0.54
200,4,"DEF.stukel",1,20360707,0.00415650000013557,100968,4,NA,NA,91,0.455
200,4,"DEF.stukel",2,20360708,0.00383750000014516,100968,4,NA,NA,96,0.48
200,4,"DEF.stukel",3,20360709,0.00840800000014497,100968,4,NA,NA,104,0.52
200,4,"DEF.stukel",4,20360710,0.0070815000001403,100968,4,NA,NA,103,0.515
200,4,"DEF.stukel",5,20360711,0.00459070000010797,100968,4,NA,NA,90,0.45
200,4,"DEF.stukel",6,20360712,0.00417320000019572,100968,4,NA,NA,88,0.44
200,4,"DEF.stukel",7,20360713,0.00409330000002228,100968,4,NA,NA,104,0.52
200,4,"DEF.stukel",8,20360714,0.0064396000002489,100968,4,NA,NA,90,0.45
200,4,"DEF.stukel",9,20360715,0.00447529999996732,100968,4,NA,NA,96,0.48
200,4,"DEF.stukel",10,20360716,0.00503380000009201,100968,4,NA,NA,101,0.505
200,4,"DEF.stukel",11,20360717,0.00355330000002141,100968,4,NA,NA,113,0.565
200,4,"DEF.stukel",12,20360718,0.0075237000000925,100968,4,NA,NA,112,0.56
200,4,"DEF.stukel",13,20360719,0.00510960000019622,100968,4,NA,NA,110,0.55
200,4,"DEF.stukel",14,20360720,0.00472630000012941,100968,4,NA,NA,102,0.51
200,4,"DEF.stukel",15,20360721,0.00440350000008038,100968,4,NA,NA,96,0.48
200,4,"DEF.stukel",16,20360722,0.00366780000013023,100968,4,NA,NA,94,0.47
200,4,"DEF.stukel",17,20360723,0.00422939999998562,100968,4,NA,NA,108,0.54
200,4,"DEF.stukel",18,20360724,0.00404590000016469,100968,4,NA,NA,91,0.455
200,4,"DEF.stukel",19,20360725,0.00401000000010754,100968,4,NA,NA,109,0.545
200,4,"DEF.stukel",20,20360726,0.00436770000010256,100968,4,NA,NA,96,0.48
200,4,"DEF.stukel",21,20360727,0.00307560000010199,100968,4,NA,NA,107,0.535
200,4,"DEF.stukel",22,20360728,0.0044444000002386,100968,4,NA,NA,111,0.555
200,4,"DEF.stukel",23,20360729,0.00406850000013037,100968,4,NA,NA,102,0.51
200,4,"DEF.stukel",24,20360730,0.00435010000001057,100968,4,NA,NA,102,0.51
200,4,"DEF.stukel",25,20360731,0.00471260000017537,100968,4,NA,NA,113,0.565
200,4,"DEF.stukel",26,20360732,0.00376800000026378,100968,4,NA,NA,86,0.43
200,4,"DEF.stukel",27,20360733,0.00413490000005368,100968,3,NA,NA,107,0.535
200,4,"DEF.stukel",28,20360734,0.00750940000011724,100968,4,NA,NA,95,0.475
200,4,"DEF.stukel",29,20360735,0.0111923000001752,100968,4,NA,NA,94,0.47
200,4,"DEF.stukel",30,20360736,0.00384080000003451,100968,3,NA,NA,108,0.54
200,4,"EF",1,20360707,0.00277790000018285,55768,4,NA,NA,91,0.455
200,4,"EF",2,20360708,0.00242840000032629,55768,4,NA,NA,96,0.48
200,4,"EF",3,20360709,0.0033766999999898,55768,4,NA,NA,104,0.52
200,4,"EF",4,20360710,0.00246510000033595,55768,4,NA,NA,103,0.515
200,4,"EF",5,20360711,0.00263760000029833,55768,4,NA,NA,90,0.45
200,4,"EF",6,20360712,0.00178430000028129,55768,4,NA,NA,88,0.44
200,4,"EF",7,20360713,0.00278330000014648,55768,4,NA,NA,104,0.52
200,4,"EF",8,20360714,0.00322929999992994,55768,4,NA,NA,90,0.45
200,4,"EF",9,20360715,0.00253080000015871,55768,4,NA,NA,96,0.48
200,4,"EF",10,20360716,0.00253050000014809,55768,4,NA,NA,101,0.505
200,4,"EF",11,20360717,0.00228790000005574,55768,4,NA,NA,113,0.565
200,4,"EF",12,20360718,0.002190800000335,55768,4,NA,NA,112,0.56
200,4,"EF",13,20360719,0.00347759999999653,55768,4,NA,NA,110,0.55
200,4,"EF",14,20360720,0.00246660000016163,55768,4,NA,NA,102,0.51
200,4,"EF",15,20360721,0.00258000000030734,55768,4,NA,NA,96,0.48
200,4,"EF",16,20360722,0.00241600000026665,55768,4,NA,NA,94,0.47
200,4,"EF",17,20360723,0.00296500000013111,55768,4,NA,NA,108,0.54
200,4,"EF",18,20360724,0.00266460000034385,55768,4,NA,NA,91,0.455
200,4,"EF",19,20360725,0.00252440000031129,55768,4,NA,NA,109,0.545
200,4,"EF",20,20360726,0.00289429999997992,55768,4,NA,NA,96,0.48
200,4,"EF",21,20360727,0.002791100000195,55768,4,NA,NA,107,0.535
200,4,"EF",22,20360728,0.00281270000004952,55768,4,NA,NA,111,0.555
200,4,"EF",23,20360729,0.0024166000000605,55768,4,NA,NA,102,0.51
200,4,"EF",24,20360730,0.00484420000020691,55768,4,NA,NA,102,0.51
200,4,"EF",25,20360731,0.00252610000006825,55768,4,NA,NA,113,0.565
200,4,"EF",26,20360732,0.0022180000003118,55768,4,NA,NA,86,0.43
200,4,"EF",27,20360733,0.00576620000015282,55768,3,NA,NA,107,0.535
200,4,"EF",28,20360734,0.00252250000016829,55768,4,NA,NA,95,0.475
200,4,"EF",29,20360735,0.00242600000001403,55768,4,NA,NA,94,0.47
200,4,"EF",30,20360736,0.00218380000023899,55768,3,NA,NA,108,0.54
200,4,"HL",1,20360707,0.00236010000003262,43472,4,NA,NA,91,0.455
200,4,"HL",2,20360708,0.00156180000021777,43472,4,NA,NA,96,0.48
200,4,"HL",3,20360709,0.0024231999998392,43472,4,NA,NA,104,0.52
200,4,"HL",4,20360710,0.00385110000001987,43472,4,NA,NA,103,0.515
200,4,"HL",5,20360711,0.00207190000014634,43472,4,NA,NA,90,0.45
200,4,"HL",6,20360712,0.00186070000017935,43472,4,NA,NA,88,0.44
200,4,"HL",7,20360713,0.00227020000033917,43472,4,NA,NA,104,0.52
200,4,"HL",8,20360714,0.00362590000008822,43472,4,NA,NA,90,0.45
200,4,"HL",9,20360715,0.00236760000007052,43472,4,NA,NA,96,0.48
200,4,"HL",10,20360716,0.00239960000021711,43472,4,NA,NA,101,0.505
200,4,"HL",11,20360717,0.00151790000018082,43472,4,NA,NA,113,0.565
200,4,"HL",12,20360718,0.00240560000020196,43472,4,NA,NA,112,0.56
200,4,"HL",13,20360719,0.00219710000010309,43472,4,NA,NA,110,0.55
200,4,"HL",14,20360720,0.00260610000009365,43472,4,NA,NA,102,0.51
200,4,"HL",15,20360721,0.00239780000015344,43472,4,NA,NA,96,0.48
200,4,"HL",16,20360722,0.00198810000006233,43472,4,NA,NA,94,0.47
200,4,"HL",17,20360723,0.0025273000001107,43472,4,NA,NA,108,0.54
200,4,"HL",18,20360724,0.00199740000016391,43472,4,NA,NA,91,0.455
200,4,"HL",19,20360725,0.00232920000007653,43472,4,NA,NA,109,0.545
200,4,"HL",20,20360726,0.0020742000001519,43472,4,NA,NA,96,0.48
200,4,"HL",21,20360727,0.00257090000013704,43472,4,NA,NA,107,0.535
200,4,"HL",22,20360728,0.00237990000027821,43472,4,NA,NA,111,0.555
200,4,"HL",23,20360729,0.00254350000000159,43472,4,NA,NA,102,0.51
200,4,"HL",24,20360730,0.00234000000000378,43472,4,NA,NA,102,0.51
200,4,"HL",25,20360731,0.00237740000011399,43472,4,NA,NA,113,0.565
200,4,"HL",26,20360732,0.00218760000007023,43472,4,NA,NA,86,0.43
200,4,"HL",27,20360733,0.0024345000001631,43472,3,NA,NA,107,0.535
200,4,"HL",28,20360734,0.00228720000018257,43472,4,NA,NA,95,0.475
200,4,"HL",29,20360735,0.00231040000016947,43472,4,NA,NA,94,0.47
200,4,"HL",30,20360736,0.00195220000000518,43472,3,NA,NA,108,0.54
200,4,"Pigeon-Heyse",1,20360707,0.00234450000016295,45792,4,NA,NA,91,0.455
200,4,"Pigeon-Heyse",2,20360708,0.00211090000016156,45792,4,NA,NA,96,0.48
200,4,"Pigeon-Heyse",3,20360709,0.00312480000025062,45792,4,NA,NA,104,0.52
200,4,"Pigeon-Heyse",4,20360710,0.0030223000001115,45792,4,NA,NA,103,0.515
200,4,"Pigeon-Heyse",5,20360711,0.00243990000012673,45792,4,NA,NA,90,0.45
200,4,"Pigeon-Heyse",6,20360712,0.00152180000009139,45792,4,NA,NA,88,0.44
200,4,"Pigeon-Heyse",7,20360713,0.00291190000007191,45792,4,NA,NA,104,0.52
200,4,"Pigeon-Heyse",8,20360714,0.00234550000004674,45792,4,NA,NA,90,0.45
200,4,"Pigeon-Heyse",9,20360715,0.00268540000024586,45792,4,NA,NA,96,0.48
200,4,"Pigeon-Heyse",10,20360716,0.00249200000030214,45792,4,NA,NA,101,0.505
200,4,"Pigeon-Heyse",11,20360717,0.00193400000011934,45792,4,NA,NA,113,0.565
