"n","p","test","R_time","time_median","time_p10","time_p90","mem_median","mcse_time"
200,4,"DEF.poly3",30,0.0106397500001095,0.00410515000016858,0.0155435200001648,107872,0.000850288720935843
500,4,"DEF.poly3",30,0.00505750000013449,0.00342202000010729,0.00600529000007555,244480,0.000488722497841151
1000,4,"DEF.poly3",30,0.00810320000005049,0.00442327000005207,0.0140960500000574,468576,0.00141166716887055
2000,4,"DEF.poly3",30,0.0114681500001552,0.00586303000013686,0.0167132700000138,916768,0.000967595811901973
5000,4,"DEF.poly3",30,0.0142209500002082,0.00992032000026484,0.0162363600002209,2285920,0.000620762703451209
10000,4,"DEF.poly3",30,0.0229784000000564,0.0162890200002039,0.0302819900001396,4551456,0.000999375636797714
20000,4,"DEF.poly3",30,0.041396000000077,0.0291622300000654,0.0562100300000111,9082528,0.00742363992860809
50000,4,"DEF.poly3",10,0.0722202000001744,0.0675935300001584,0.0790347499999143,22544684,0.00340457160921264
200,8,"DEF.poly3",30,0.00526515000012751,0.0045011100002057,0.00631907000013144,137488,0.000263141622966515
500,8,"DEF.poly3",30,0.00564129999997931,0.00358581000014055,0.0080712400002767,312496,0.000429028311837673
1000,8,"DEF.poly3",30,0.00901160000012169,0.00459527000016351,0.0138002000001734,600592,0.000658291406331727
2000,8,"DEF.poly3",30,0.0100455500001999,0.00591956999999184,0.014997460000086,1176784,0.000975437744673162
5000,8,"DEF.poly3",30,0.015005300000098,0.0102952500001493,0.0176140500000657,2929936,0.000467698528226757
10000,8,"DEF.poly3",30,0.0246177000001353,0.0172212500000569,0.0336871499999915,5835472,0.00430604352084758
20000,8,"DEF.poly3",30,0.0476980500002356,0.0310956000001625,0.0607289800002945,11646544,0.00225036892284587
50000,8,"DEF.poly3",10,0.0821031500001936,0.0764431300001434,0.0915544700001647,28948688,0.0020912729035391
200,16,"DEF.poly3",30,0.00554550000026666,0.00472467999995842,0.00761877000004461,199856,0.000310155782390619
500,16,"DEF.poly3",30,0.00684420000015962,0.00403330000021925,0.00952276000011807,451664,0.000592113034782435
1000,16,"DEF.poly3",30,0.00896795000005568,0.0052533400001721,0.0114600400001109,867760,0.00051845756219995
2000,16,"DEF.poly3",30,0.0121347500000865,0.00655862999976762,0.0206689700001562,1699952,0.001347686996816
5000,16,"DEF.poly3",30,0.0169379499999422,0.0107481900001403,0.0208405600001242,4221104,0.000710466620725536
10000,16,"DEF.poly3",30,0.0305704500001411,0.0196003100001008,0.0383136000000377,8406640,0.0011698223840545
20000,16,"DEF.poly3",30,0.0581428000002688,0.0375039800001786,0.0736649400001852,16777712,0.00241550452778521
50000,16,"DEF.poly3",10,0.110448100000213,0.0992300300001262,0.130995520000033,41759856,0.00961615866085967
200,32,"DEF.poly3",30,0.00710835000006683,0.00462861000019075,0.0147848800000929,353944,0.000835034537714783
500,32,"DEF.poly3",30,0.00914175000013983,0.00609667000012451,0.0130976200002578,759352,0.00062859117537846
1000,32,"DEF.poly3",30,0.0112144000000854,0.00736336000020401,0.0217642800001613,1431448,0.000993406484089931
2000,32,"DEF.poly3",30,0.016691650000098,0.0112625800000387,0.0397260400000505,2775640,0.00277651553380597
5000,32,"DEF.poly3",30,0.0235665000001291,0.015846460000148,0.0385356800001318,6832792,0.00443390261152081
10000,32,"DEF.poly3",30,0.0445724500000324,0.0298613200002592,0.0637388900001269,13578328,0.00500883247455349
20000,32,"DEF.poly3",30,0.0845807500001002,0.0577688100001296,0.102004080000074,27069400,0.00369095748410677
50000,32,"DEF.poly3",10,0.182992650000074,0.164006860000223,0.27243443000009,67411544,0.0138268862102789
200,4,"DEF.stukel",30,0.00435890000005656,0.00375798000025043,0.00751083000011477,100968,0.000320201377860295
500,4,"DEF.stukel",30,0.00485210000022107,0.00309456000004502,0.00605474000019513,237576,0.000334667069011558
1000,4,"DEF.stukel",30,0.00715275000015936,0.00411980000019412,0.0128601000000799,461672,0.00084060159831338
2000,4,"DEF.stukel",30,0.00967825000009271,0.00531068000013874,0.0127194500001451,909864,0.000590040163619611
5000,4,"DEF.stukel",30,0.0129923500001041,0.00911466000006839,0.0160013100002061,2279016,0.000649314546830928
10000,4,"DEF.stukel",30,0.0232721500000252,0.015828770000121,0.0364501500002006,4544552,0.00131068823037892
