"test","n","rep","time_sec","notes"
"DEF.poly3",1000,1,0.00366610000014589,""
"DEF.poly3",1000,2,0.00383960000021943,""
"DEF.poly3",1000,3,0.00393800000006195,""
"le-Cessie",1000,1,1.19375770000033,""
"le-Cessie",1000,2,1.20943150000016,""
"le-Cessie",1000,3,1.19609570000011,""
"Stute-Zhu",1000,1,0.369855800000096,"200 bootstrap reps"
"Stute-Zhu",1000,2,0.379674000000023,"200 bootstrap reps"
"Stute-Zhu",1000,3,0.409927100000004,"200 bootstrap reps"
"BAGofT",1000,1,463.7640847,"adaptive partition; nsim=100"
"BAGofT",1000,2,454.0752123,"adaptive partition; nsim=100"
"BAGofT",1000,3,453.7667972,"adaptive partition; nsim=100"
"McCullagh",1000,1,1.29222660000005,""
"McCullagh",1000,2,1.31166129999997,""
"McCullagh",1000,3,1.39186640000025,""
"DEF.poly3",2000,1,0.00513010000008762,""
"DEF.poly3",2000,2,0.00524319999999534,""
"DEF.poly3",2000,3,0.00549259999979768,""
"le-Cessie",2000,1,15.3946788000003,""
"le-Cessie",2000,2,15.2889820000003,""
"le-Cessie",2000,3,15.0547313000002,""
"Stute-Zhu",2000,1,0.857952600000317,"200 bootstrap reps"
"Stute-Zhu",2000,2,0.768716600000289,"200 bootstrap reps"
"Stute-Zhu",2000,3,0.839055200000075,"200 bootstrap reps"
"McCullagh",2000,1,15.1643122,""
"McCullagh",2000,2,14.9373597000001,""
"McCullagh",2000,3,14.8409490000004,""
