test,n,time_median,slope,speedup_vs_edge_poly3,speedup_vs_edge_poly3_computebench
DEF.poly3,1000,0.00383960000021943,0.449491555524237,1,0.473837
DEF.poly3,2000,0.00524319999999534,0.449491555524237,1,0.647053
le-Cessie,1000,1.19609570000011,3.67608761987979,311.515704743138,147.608
le-Cessie,2000,15.2889820000003,3.67608761987979,2915.96391516896,1886.78
Stute-Zhu,1000,0.379674000000023,1.14400451934518,98.8837378837183,46.8548
Stute-Zhu,2000,0.839055200000075,1.14400451934518,160.027311565613,103.546
BAGofT,1000,454.0752123,NA,118261.07205804,56036.5
McCullagh,1000,1.31166129999997,3.50945802521723,341.614048318838,161.87
McCullagh,2000,14.9373597000001,3.50945802521723,2848.90137702422,1843.39
proj,1000,41.7,NA,5146.11511498423,5146.12
