"design","n","B","stukel_fail_rate","stukel_na_rate","ef_na_rate","ef_fail_rate","edge_degenerate_rate","n_computable","refit_iter_median","event_rate_mean","mcse_fail","intercept","covariate_df"
"sparse",100,5000,NA,NA,0,0,1,0,NA,0.014522,NA,-4.9,4
"sparse",150,5000,NA,NA,0,0,1,0,NA,0.0144426666666667,NA,-4.9,4
"sparse",200,5000,0,0,0,0,0.9994,3,14,0.014707,0,-4.9,4
"sparse",300,5000,0.267857142857143,0,0,0,0.9888,56,9,0.0147693333333333,0.0591773505595002,-4.9,4
"sparse",500,5000,0.189704480457579,0,0,0,0.7902,1049,9,0.0149336,0.0121052222873918,-4.9,4
"sparse",1000,5000,0.195527156549521,0,0,0,0.061,4695,9,0.0148088,0.00578817213429839,-4.9,4
"sparse",2000,5000,0.2758,0,0,0,0,5000,9,0.0148004,0.00632035378756601,-4.9,4
"sparse",5000,5000,0.27,0,0,0,0,5000,8,0.01489824,0.0062785348609369,-4.9,4
"moderate",100,5000,0.2128,0,0,0,0,5000,6,0.2932,0.00578819764693639,-1,4
"moderate",150,5000,0.1816,0,0,0,0,5000,6,0.293138666666667,0.00545199853264837,-1,4
"moderate",200,5000,0.1474,0,0,0,0,5000,5,0.292518,0.00501344671857595,-1,4
"moderate",300,5000,0.1106,0,0,0,0,5000,5,0.293052666666667,0.00443548509184734,-1,4
"moderate",500,5000,0.0898,0,0,0,0,5000,5,0.29233,0.00404316608612607,-1,4
"moderate",1000,5000,0.0476,0,0,0,0,5000,5,0.292642,0.00301112072159188,-1,4
"moderate",2000,5000,0.0248,0,0,0,0,5000,5,0.2929358,0.00219931625738546,-1,4
"moderate",5000,5000,0.0122,0,0,0,0,5000,5,0.29254676,0.00155249218999646,-1,4
