"scenario","param","n","reps","B_mbb","reject_proj","reject_edge3","reject_ef","reject_hl","n_proj_ok","mcse_proj"
"link","cloglog",500,500,250,0.362,0.388,0.21,0.136,500,0.0214921380974532
"link","cloglog",1000,500,250,0.692,0.772,0.494,0.406,500,0.0206463556106156
"link","probit",500,500,250,0.062,0.08,0.056,0.048,500,0.0107848041243223
"link","probit",1000,500,250,0.082,0.084,0.076,0.054,500,0.0122699633251286
"link","stukel_heavy",500,500,250,0.33,0.402,0.232,0.236,500,0.0210285520186246
"link","stukel_heavy",1000,500,250,0.626,0.71,0.536,0.542,500,0.0216390387956582
"link","stukel_light",500,500,250,0.132,0.148,0.138,0.138,500,0.0151377673386798
"link","stukel_light",1000,500,250,0.25,0.366,0.332,0.338,500,0.0193649167310371
"link","stukel_asym",500,500,250,0.578,0.65,0.448,0.45,500,0.0220869192057199
"link","stukel_asym",1000,500,250,0.886,0.94,0.838,0.84,500,0.0142129518397833
"quad","0.02",500,500,250,0.292,0.282,0.184,0.29,500,0.0203340109176719
"quad","0.02",1000,500,250,0.542,0.538,0.326,0.43,500,0.0222816516443463
"binint","0.3",500,500,250,0.192,0.29,0.146,0.16,500,0.0176145394489893
"binint","0.3",1000,500,250,0.346,0.436,0.286,0.294,500,0.021273645667821
"contint","0.5",500,500,250,0.264,0.216,0.076,0.104,500,0.0197131428240146
"contint","0.5",1000,500,250,0.562,0.41,0.224,0.242,500,0.0221881049213312
"omit_2cov","off-index",500,500,250,0.05,0.04,0.062,0.062,500,0.00974679434480896
"omit_2cov","off-index",1000,500,250,0.064,0.048,0.034,0.034,500,0.0109456840809517
"null_quad","null",500,500,250,0.044,0.05,0.05,0.046,500,0.00917213170424411
"null_quad","null",1000,500,250,0.056,0.052,0.054,0.054,500,0.0102824121683582
"null_link","null",500,500,250,0.068,0.068,0.05,0.05,500,0.0112584190719657
"null_link","null",1000,500,250,0.048,0.042,0.032,0.034,500,0.00955991631762538
"null_contint","null",500,500,250,0.062,0.04,0.06,0.058,500,0.0107848041243223
"null_contint","null",1000,500,250,0.052,0.046,0.062,0.062,500,0.00992935043192655
