"scenario","pstar","G","test","size_raw","power_raw","power_adj","na_null","na_alt","B","mcse_size"
"cloglog",3,10,"EDGE.poly2",0.048,0.7905,0.7955,0,0,2000,0.00477995815881269
"cloglog",3,10,"EDGE.poly3",0.0415,0.7585,0.7765,0,0,2000,0.00445969449626317
"cloglog",3,10,"EDGE.stk",0.043,0.7455,0.7635,0,0,2000,0.00453602248671675
"cloglog",3,10,"HL_F",0.0435,0.4925,0.5195,0,0,2000,0.00456112650559048
"cloglog",3,10,"HL",0.0425,0.3875,0.416,0,0,2000,0.00451075104611194
"cloglog",3,10,"HL_w",0.046,0.474,0.4875,0,0,2000,0.00468422885862764
"cloglog",3,10,"Stukel",0.0515,0.8465,0.8415,0,0,2000,0.00494205169944629
"cloglog",3,10,"GiViTI",0.0535,0.8565,0.852,0,0,2000,0.00503178646208283
"quad",3,10,"EDGE.poly2",0.048,1,1,0,0,2000,0.00477995815881269
"quad",3,10,"EDGE.poly3",0.0415,1,1,0,0,2000,0.00445969449626317
"quad",3,10,"EDGE.stk",0.043,1,1,0,0.001,2000,0.00453602248671675
"quad",3,10,"HL_F",0.0435,1,1,0,0,2000,0.00456112650559048
"quad",3,10,"HL",0.0425,1,1,0,0,2000,0.00451075104611194
"quad",3,10,"HL_w",0.046,1,1,0,0,2000,0.00468422885862764
"quad",3,10,"Stukel",0.0515,1,1,0,0.0855,2000,0.00494205169944629
"quad",3,10,"GiViTI",0.0535,1,1,0,0,2000,0.00503178646208283
"binint",3,10,"EDGE.poly2",0.048,0.7385,0.7425,0,0,2000,0.00477995815881269
"binint",3,10,"EDGE.poly3",0.0415,0.6895,0.707,0,0,2000,0.00445969449626317
"binint",3,10,"EDGE.stk",0.043,0.739,0.7535,0,0,2000,0.00453602248671675
"binint",3,10,"HL_F",0.0435,0.4545,0.476,0,0,2000,0.00456112650559048
"binint",3,10,"HL",0.0425,0.476,0.4995,0,0,2000,0.00451075104611194
"binint",3,10,"HL_w",0.046,0.5245,0.542,0,0,2000,0.00468422885862764
"binint",3,10,"Stukel",0.0515,0.638930912758447,0.624306606152294,0,0.0085,2000,0.00494205169944629
"binint",3,10,"GiViTI",0.0535,0.7575,0.751,0,0,2000,0.00503178646208283
"cloglog",3,20,"EDGE.poly2",0.049,0.823,0.8255,0,0,2000,0.00482695556225661
"cloglog",3,20,"EDGE.poly3",0.051,0.777,0.7725,0,0,2000,0.00491929873051027
"cloglog",3,20,"EDGE.stk",0.051,0.7435,0.7365,0,0,2000,0.00491929873051027
"cloglog",3,20,"HL_F",0.042,0.326,0.3495,0,0,2000,0.00448530935387962
"cloglog",3,20,"HL",0.0425,0.2075,0.2205,0,0,2000,0.00451075104611194
"cloglog",3,20,"HL_w",0.048,0.3735,0.3845,0,0,2000,0.00477995815881269
"cloglog",3,20,"Stukel",0.049,0.847,0.8475,0,0,2000,0.00482695556225661
"cloglog",3,20,"GiViTI",0.0505,0.8615,0.861,0,0,2000,0.00489641450451246
"quad",3,20,"EDGE.poly2",0.049,1,1,0,0,2000,0.00482695556225661
"quad",3,20,"EDGE.poly3",0.051,1,1,0,0,2000,0.00491929873051027
"quad",3,20,"EDGE.stk",0.051,1,1,0,5e-04,2000,0.00491929873051027
"quad",3,20,"HL_F",0.042,1,1,0,0,2000,0.00448530935387962
"quad",3,20,"HL",0.0425,1,1,0,0,2000,0.00451075104611194
"quad",3,20,"HL_w",0.048,1,1,0,0,2000,0.00477995815881269
"quad",3,20,"Stukel",0.049,1,1,0,0.0815,2000,0.00482695556225661
"quad",3,20,"GiViTI",0.0505,1,1,0,0,2000,0.00489641450451246
"binint",3,20,"EDGE.poly2",0.049,0.753,0.753,0,0,2000,0.00482695556225661
"binint",3,20,"EDGE.poly3",0.051,0.713,0.708,0,0,2000,0.00491929873051027
"binint",3,20,"EDGE.stk",0.051,0.732732732732733,0.727727727727728,0,0.001,2000,0.00491929873051027
"binint",3,20,"HL_F",0.042,0.325,0.3475,0,0,2000,0.00448530935387962
"binint",3,20,"HL",0.0425,0.362,0.3775,0,0,2000,0.00451075104611194
"binint",3,20,"HL_w",0.048,0.453,0.457,0,0,2000,0.00477995815881269
"binint",3,20,"Stukel",0.049,0.660965794768612,0.665995975855131,0,0.006,2000,0.00482695556225661
"binint",3,20,"GiViTI",0.0505,0.7625,0.761,0,0,2000,0.00489641450451246
"cloglog",5,10,"EDGE.poly2",0.0485,0.785,0.7875,0,0,2000,0.00480352734977121
"cloglog",5,10,"EDGE.poly3",0.05,0.736,0.7305,0,0,2000,0.00487339717240448
"cloglog",5,10,"EDGE.stk",0.0465,0.7335,0.753,0,0,2000,0.00470838348055891
"cloglog",5,10,"HL_F",0.0415,0.456,0.4835,0,0,2000,0.00445969449626317
"cloglog",5,10,"HL",0.0405,0.3775,0.406,0,0,2000,0.00440793318914886
"cloglog",5,10,"HL_w",0.05,0.4475,0.447,0,0,2000,0.00487339717240448
"cloglog",5,10,"Stukel",0.052,0.8375,0.8325,0,0,2000,0.00496467521596328
"cloglog",5,10,"GiViTI",0.051,0.8535,0.8515,0,0,2000,0.00491929873051027
"quad",5,10,"EDGE.poly2",0.0485,1,1,0,0,2000,0.00480352734977121
"quad",5,10,"EDGE.poly3",0.05,1,1,0,0,2000,0.00487339717240448
"quad",5,10,"EDGE.stk",0.0465,1,1,0,0,2000,0.00470838348055891
"quad",5,10,"HL_F",0.0415,1,1,0,0,2000,0.00445969449626317
"quad",5,10,"HL",0.0405,1,1,0,0,2000,0.00440793318914886
