"n","G","GoverSqrtN","size_HL_F","adj_HL_F","raw_HL_F","size_HL","adj_HL","raw_HL","size_EDGE.poly3","adj_EDGE.poly3","raw_EDGE.poly3","size_Stukel","adj_Stukel","raw_Stukel","size_GiViTI","adj_GiViTI","raw_GiViTI","gap_adj","gap_raw","mcse_gap"
200,6,0.424264068711929,0.0466666666666667,0.122,0.112666666666667,0.04,0.0886666666666667,0.072,0.0486666666666667,0.125333333333333,0.121333333333333,0.0426666666666667,0.267022696929239,0.240987983978638,0.0453333333333333,0.258666666666667,0.246666666666667,0.0333333333333333,0.0406666666666667,0.0182574185835055
200,8,0.565685424949238,0.038,0.104,0.0793333333333333,0.0406666666666667,0.0673333333333333,0.052,0.0486666666666667,0.124,0.122666666666667,0.0513333333333333,0.215764863059452,0.228456913827655,0.0513333333333333,0.244666666666667,0.251333333333333,0.0366666666666667,0.0273333333333333,0.0182574185835055
200,10,0.707106781186547,0.0466666666666667,0.0766666666666667,0.0713333333333333,0.0466666666666667,0.0406666666666667,0.04,0.058,0.105333333333333,0.134,0.058,0.201736806947228,0.228456913827655,0.056,0.222,0.237333333333333,0.036,0.0313333333333333,0.0182574185835055
200,12,0.848528137423857,0.0506666666666667,0.0693333333333333,0.0706666666666667,0.0593333333333333,0.036,0.0446666666666667,0.056,0.130666666666667,0.142,0.056,0.190890823844608,0.206965840589417,0.046,0.252666666666667,0.242666666666667,0.0333333333333333,0.026,0.0182574185835055
200,16,1.13137084989848,0.0466666666666667,0.0726666666666667,0.0653333333333333,0.05,0.0353333333333333,0.036,0.0553333333333333,0.124,0.139333333333333,0.06,0.198132088058706,0.226150767178119,0.0593333333333333,0.206666666666667,0.238,0.0373333333333333,0.0293333333333333,0.0182574185835055
200,20,1.41421356237309,0.044,0.068,0.0573333333333333,0.0426666666666667,0.0326666666666667,0.0286666666666667,0.052,0.139333333333333,0.146,0.052,0.220666666666667,0.229333333333333,0.0506666666666667,0.253333333333333,0.253333333333333,0.0353333333333333,0.0286666666666667,0.0182574185835055
500,6,0.268328157299975,0.0446666666666667,0.326,0.274666666666667,0.0453333333333333,0.240666666666667,0.223333333333333,0.048,0.354666666666667,0.353333333333333,0.0513333333333333,0.516,0.52,0.0413333333333333,0.571333333333333,0.548666666666667,0.0853333333333333,0.0513333333333333,0.0182574185835055
500,8,0.357770876399966,0.0433333333333333,0.260666666666667,0.242666666666667,0.0533333333333333,0.166666666666667,0.170666666666667,0.0573333333333333,0.353333333333333,0.381333333333333,0.06,0.47,0.512666666666667,0.0593333333333333,0.528666666666667,0.576,0.094,0.072,0.0182574185835055
500,10,0.447213595499958,0.0466666666666667,0.215333333333333,0.209333333333333,0.0466666666666667,0.151333333333333,0.144,0.0466666666666667,0.404,0.376666666666667,0.044,0.544666666666667,0.51,0.0513333333333333,0.541333333333333,0.552,0.064,0.0653333333333334,0.0182574185835055
500,12,0.536656314599949,0.052,0.19,0.199333333333333,0.0453333333333333,0.147333333333333,0.128666666666667,0.0586666666666667,0.385333333333333,0.418,0.0553333333333333,0.522,0.529333333333333,0.0613333333333333,0.54,0.574,0.0426666666666667,0.0706666666666667,0.0182574185835055
500,16,0.715541752799933,0.05,0.138666666666667,0.138666666666667,0.0513333333333333,0.086,0.0866666666666667,0.04,0.430666666666667,0.391333333333333,0.046,0.51,0.500666666666667,0.048,0.560666666666667,0.550666666666667,0.0526666666666667,0.052,0.0182574185835055
500,20,0.894427190999916,0.0433333333333333,0.164,0.146,0.0433333333333333,0.09,0.0753333333333333,0.042,0.445333333333333,0.408666666666667,0.05,0.523333333333333,0.523333333333333,0.052,0.549333333333333,0.556,0.074,0.0706666666666667,0.0182574185835055
1000,6,0.189736659610103,0.0526666666666667,0.61,0.62,0.0466666666666667,0.567333333333333,0.554666666666667,0.0513333333333333,0.706,0.719333333333333,0.05,0.854666666666667,0.854666666666667,0.06,0.841333333333333,0.869333333333333,0.0426666666666666,0.0653333333333334,0.0182574185835055
1000,8,0.25298221281347,0.0446666666666667,0.564,0.552,0.0426666666666667,0.485333333333333,0.471333333333333,0.0486666666666667,0.764,0.76,0.0526666666666667,0.864666666666667,0.871333333333333,0.0526666666666667,0.875333333333333,0.881333333333333,0.0786666666666666,0.0806666666666667,0.0182574185835055
