"block","scen","n","G","B","test","size","power_raw","power_adj","na_alt","na_null"
"D1_probit","probit",1000,10,2000,"EDGE.poly2",0.052,0.0525,0.0505,0,0
"D1_probit","probit",1000,10,2000,"EDGE.poly3",0.0485,0.0815,0.083,0,0
"D1_probit","probit",1000,10,2000,"EDGE.stk",0.045,0.0675,0.073,0,0
"D1_probit","probit",1000,10,2000,"HL_F",0.04,0.063,0.07,0,0
"D1_probit","probit",1000,10,2000,"HL",0.041,0.056,0.064,0,0
"D1_probit","probit",1000,10,2000,"HL_w",0.046,0.0765,0.0785,0,0
"D1_probit","probit",1000,10,2000,"Stukel",0.056,0.0925,0.083,0,0
"D1_probit","probit",1000,10,2000,"GiViTI",0.058,0.062,0.0555,0,0
"D1_probit","probit",5000,10,2000,"EDGE.poly2",0.056,0.0945,0.08,0,0
"D1_probit","probit",5000,10,2000,"EDGE.poly3",0.053,0.224,0.2135,0,0
"D1_probit","probit",5000,10,2000,"EDGE.stk",0.0505,0.245,0.244,0,0
"D1_probit","probit",5000,10,2000,"HL_F",0.0495,0.1335,0.1355,0,0
"D1_probit","probit",5000,10,2000,"HL",0.0495,0.1245,0.1245,0,0
"D1_probit","probit",5000,10,2000,"HL_w",0.0445,0.119,0.125,0,0
"D1_probit","probit",5000,10,2000,"Stukel",0.053,0.2765,0.261,0,0
"D1_probit","probit",5000,10,2000,"GiViTI",0.053,0.1315,0.126,0,0
"D1_probit","probit",20000,10,800,"EDGE.poly2",0.05625,0.225,0.2075,0,0
"D1_probit","probit",20000,10,800,"EDGE.poly3",0.05875,0.75,0.7025,0,0
"D1_probit","probit",20000,10,800,"EDGE.stk",0.05875,0.7775,0.75375,0,0
"D1_probit","probit",20000,10,800,"HL_F",0.06125,0.48125,0.44875,0,0
"D1_probit","probit",20000,10,800,"HL",0.06125,0.47375,0.4375,0,0
"D1_probit","probit",20000,10,800,"HL_w",0.05125,0.41,0.3975,0,0
"D1_probit","probit",20000,10,800,"Stukel",0.0625,0.82375,0.7975,0,0
"D1_probit","probit",20000,10,800,"GiViTI",0.05375,0.54875,0.53125,0,0
