"G","test","size","power_adj"
10,"EDGE.poly2",0.04375,0.2425
10,"EDGE.poly3",0.05875,0.7475
10,"EDGE.stk",0.05625,0.77
10,"HL_F",0.04625,0.50125
10,"HL",0.04625,0.4925
10,"HL_w",0.0475,0.4
10,"Stukel",0.06,0.82125
10,"GiViTI",0.0525,0.5075
20,"EDGE.poly2",0.05375,0.18875
20,"EDGE.poly3",0.05125,0.78
20,"EDGE.stk",0.045,0.82375
20,"HL_F",0.03875,0.41875
20,"HL",0.03875,0.4
20,"HL_w",0.04125,0.36625
20,"Stukel",0.05,0.81125
20,"GiViTI",0.04875,0.515
40,"EDGE.poly2",0.045,0.1975
40,"EDGE.poly3",0.05125,0.78625
40,"EDGE.stk",0.0525,0.82875
40,"HL_F",0.05,0.2875
40,"HL",0.05,0.2375
40,"HL_w",0.045,0.2725
40,"Stukel",0.0475,0.80875
40,"GiViTI",0.04125,0.57125
80,"EDGE.poly2",0.0425,0.24
80,"EDGE.poly3",0.04875,0.84375
80,"EDGE.stk",0.05,0.8625
80,"HL_F",0.04375,0.21625
80,"HL",0.0425,0.16625
80,"HL_w",0.045,0.215
80,"Stukel",0.0525,0.835
80,"GiViTI",0.04,0.595
