"n","m","G","scen","test","B","size","power_adj","na_null"
500,15,33,"cloglog","EDGE.poly2",2000,0.055,0.479,0
500,15,33,"cloglog","EDGE.poly3",2000,0.05,0.419,0
500,15,33,"cloglog","EDGE.stk",2000,0.042,0.3185,0
500,15,33,"cloglog","HL_F",2000,0.048,0.1105,0
500,15,33,"cloglog","HL",2000,0.0425,0.0475,0
500,15,33,"cloglog","HL_w",2000,0.059,0.135,0
500,15,33,"cloglog","Stukel",2000,0.0525,0.5095,0
500,15,33,"cloglog","GiViTI",2000,0.0545,0.539,0
500,15,33,"probit","EDGE.poly2",2000,0.055,0.0405,0
500,15,33,"probit","EDGE.poly3",2000,0.05,0.053,0
500,15,33,"probit","EDGE.stk",2000,0.042,0.0415,0
500,15,33,"probit","HL_F",2000,0.048,0.051,0
500,15,33,"probit","HL",2000,0.0425,0.0395,0
500,15,33,"probit","HL_w",2000,0.059,0.0405,0
500,15,33,"probit","Stukel",2000,0.0525,0.0655,0
500,15,33,"probit","GiViTI",2000,0.0545,0.041,0
500,25,20,"cloglog","EDGE.poly2",2000,0.056,0.4575,0
500,25,20,"cloglog","EDGE.poly3",2000,0.0595,0.3685,0
500,25,20,"cloglog","EDGE.stk",2000,0.051,0.251,0
500,25,20,"cloglog","HL_F",2000,0.0515,0.1405,0
500,25,20,"cloglog","HL",2000,0.051,0.0715,0
500,25,20,"cloglog","HL_w",2000,0.0535,0.1925,0
500,25,20,"cloglog","Stukel",2000,0.057,0.4725,0
500,25,20,"cloglog","GiViTI",2000,0.055,0.5315,0
500,25,20,"probit","EDGE.poly2",2000,0.056,0.045,0
500,25,20,"probit","EDGE.poly3",2000,0.0595,0.0475,0
500,25,20,"probit","EDGE.stk",2000,0.051,0.033,0
500,25,20,"probit","HL_F",2000,0.0515,0.045,0
500,25,20,"probit","HL",2000,0.051,0.0415,0
500,25,20,"probit","HL_w",2000,0.0535,0.0485,0
500,25,20,"probit","Stukel",2000,0.057,0.062,0
500,25,20,"probit","GiViTI",2000,0.055,0.045,0
500,50,10,"cloglog","EDGE.poly2",2000,0.0415,0.503,0
500,50,10,"cloglog","EDGE.poly3",2000,0.049,0.371,0
500,50,10,"cloglog","EDGE.stk",2000,0.047,0.2935,0
500,50,10,"cloglog","HL_F",2000,0.0425,0.2195,0
500,50,10,"cloglog","HL",2000,0.0415,0.1595,0
500,50,10,"cloglog","HL_w",2000,0.045,0.2565,0
500,50,10,"cloglog","Stukel",2000,0.0545,0.4915,0
500,50,10,"cloglog","GiViTI",2000,0.054,0.53,0
500,50,10,"probit","EDGE.poly2",2000,0.0415,0.0465,0
500,50,10,"probit","EDGE.poly3",2000,0.049,0.053,0
500,50,10,"probit","EDGE.stk",2000,0.047,0.048,0
500,50,10,"probit","HL_F",2000,0.0425,0.048,0
500,50,10,"probit","HL",2000,0.0415,0.044,0
500,50,10,"probit","HL_w",2000,0.045,0.0475,0
500,50,10,"probit","Stukel",2000,0.0545,0.073,0
500,50,10,"probit","GiViTI",2000,0.054,0.041,0
500,100,5,"cloglog","EDGE.poly2",2000,0.054,0.4085,0
500,100,5,"cloglog","EDGE.poly3",2000,0.0515,0.327,0
500,100,5,"cloglog","EDGE.stk",2000,0.051,0.319,0
500,100,5,"cloglog","HL_F",2000,0.0495,0.298,0
500,100,5,"cloglog","HL",2000,0.051,0.232,0
500,100,5,"cloglog","HL_w",2000,0.043,0.262,0
500,100,5,"cloglog","Stukel",2000,0.0575,0.5005,0
500,100,5,"cloglog","GiViTI",2000,0.053,0.552,0
500,100,5,"probit","EDGE.poly2",2000,0.054,0.0385,0
500,100,5,"probit","EDGE.poly3",2000,0.0515,0.0455,0
500,100,5,"probit","EDGE.stk",2000,0.051,0.052,0
500,100,5,"probit","HL_F",2000,0.0495,0.045,0
500,100,5,"probit","HL",2000,0.051,0.036,0
500,100,5,"probit","HL_w",2000,0.043,0.063,0
500,100,5,"probit","Stukel",2000,0.0575,0.06,0
500,100,5,"probit","GiViTI",2000,0.053,0.04,0
500,200,4,"cloglog","EDGE.poly2",2000,0.049,0.388,0
500,200,4,"cloglog","EDGE.poly3",2000,0.05,0.2725,0
500,200,4,"cloglog","EDGE.stk",2000,0.048,0.371,0
500,200,4,"cloglog","HL_F",2000,0.049,0.345,0
500,200,4,"cloglog","HL",2000,0.0485,0.281,0
500,200,4,"cloglog","HL_w",2000,0.0555,0.192,0
500,200,4,"cloglog","Stukel",2000,0.053,0.5095,0
500,200,4,"cloglog","GiViTI",2000,0.054,0.549,0
500,200,4,"probit","EDGE.poly2",2000,0.049,0.0565,0
500,200,4,"probit","EDGE.poly3",2000,0.05,0.061,0
500,200,4,"probit","EDGE.stk",2000,0.048,0.06,0
500,200,4,"probit","HL_F",2000,0.049,0.062,0
500,200,4,"probit","HL",2000,0.0485,0.0585,0
500,200,4,"probit","HL_w",2000,0.0555,0.0545,0
500,200,4,"probit","Stukel",2000,0.053,0.0705,0
500,200,4,"probit","GiViTI",2000,0.054,0.0455,0
1000,15,67,"cloglog","EDGE.poly2",2000,0.0445,0.846,0
1000,15,67,"cloglog","EDGE.poly3",2000,0.0375,0.847,0
1000,15,67,"cloglog","EDGE.stk",2000,0.037,0.799,0
1000,15,67,"cloglog","HL_F",2000,0.038,0.1885,0
1000,15,67,"cloglog","HL",2000,0.036,0.052,0
1000,15,67,"cloglog","HL_w",2000,0.0385,0.261,0
1000,15,67,"cloglog","Stukel",2000,0.0395,0.8925,0
1000,15,67,"cloglog","GiViTI",2000,0.042,0.885,0
