"n","arm","G","scen","test","size","power_adj","na_alt"
500,"G10",10,"quad","EDGE.poly2",0.05,1,0
500,"G10",10,"quad","EDGE.poly3",0.05,1,0
500,"G10",10,"quad","EDGE.stk",0.057,1,0
500,"G10",10,"quad","HL_F",0.049,1,0
500,"G10",10,"quad","HL",0.0475,1,0
500,"G10",10,"quad","HL_w",0.0495,1,0
500,"G10",10,"quad","Stukel",0.058,1,0.134
500,"G10",10,"quad","GiViTI",0.052,1,0
500,"G10",10,"binint","EDGE.poly2",0.05,0.456,0
500,"G10",10,"binint","EDGE.poly3",0.05,0.417,0
500,"G10",10,"binint","EDGE.stk",0.057,0.444,0
500,"G10",10,"binint","HL_F",0.049,0.212,0
500,"G10",10,"binint","HL",0.0475,0.2375,0
500,"G10",10,"binint","HL_w",0.0495,0.270635317658829,5e-04
500,"G10",10,"binint","Stukel",0.058,0.329459322890349,0.0105
500,"G10",10,"binint","GiViTI",0.052,0.4595,0
500,"G10",10,"osc4","EDGE.poly2",0.05,0.079,0
500,"G10",10,"osc4","EDGE.poly3",0.05,0.2945,0
500,"G10",10,"osc4","EDGE.stk",0.057,0.368,0
500,"G10",10,"osc4","HL_F",0.049,1,0
500,"G10",10,"osc4","HL",0.0475,1,0
500,"G10",10,"osc4","HL_w",0.0495,0.9715,0
500,"G10",10,"osc4","Stukel",0.058,0.284,0
500,"G10",10,"osc4","GiViTI",0.052,0.157,0
500,"G10",10,"cloglog_sparse","EDGE.poly2",0.048,0.0585,0
500,"G10",10,"cloglog_sparse","EDGE.poly3",0.04,0.0615,0
500,"G10",10,"cloglog_sparse","EDGE.stk",0.045,0.0605,0
500,"G10",10,"cloglog_sparse","HL_F",0.041,0.06,0
500,"G10",10,"cloglog_sparse","HL",0.0525,0.0635,0
500,"G10",10,"cloglog_sparse","HL_w",0.0505998956703182,0.0269720101781171,0.0175
500,"G10",10,"cloglog_sparse","Stukel",0.0431486880466472,0.047163798597833,0.2155
500,"G10",10,"cloglog_sparse","GiViTI",0.064,0.0525,0
500,"rule",20,"quad","EDGE.poly2",0.0475,1,0
500,"rule",20,"quad","EDGE.poly3",0.045,1,0
500,"rule",20,"quad","EDGE.stk",0.0425,1,0.001
500,"rule",20,"quad","HL_F",0.041,1,0
500,"rule",20,"quad","HL",0.043,1,0
500,"rule",20,"quad","HL_w",0.042,1,0
500,"rule",20,"quad","Stukel",0.049,1,0.12
500,"rule",20,"quad","GiViTI",0.0455,1,0
500,"rule",20,"binint","EDGE.poly2",0.0475,0.475,0
500,"rule",20,"binint","EDGE.poly3",0.045,0.421,0
500,"rule",20,"binint","EDGE.stk",0.0425,0.461461461461461,0.001
500,"rule",20,"binint","HL_F",0.041,0.16,0
500,"rule",20,"binint","HL",0.043,0.195,0
500,"rule",20,"binint","HL_w",0.042,0.2475,0
500,"rule",20,"binint","Stukel",0.049,0.356926188068756,0.011
500,"rule",20,"binint","GiViTI",0.0455,0.4695,0
500,"rule",20,"osc4","EDGE.poly2",0.0475,0.094,0
500,"rule",20,"osc4","EDGE.poly3",0.045,0.3295,0
500,"rule",20,"osc4","EDGE.stk",0.0425,0.4625,0
500,"rule",20,"osc4","HL_F",0.041,1,0
500,"rule",20,"osc4","HL",0.043,1,0
500,"rule",20,"osc4","HL_w",0.042,1,0
500,"rule",20,"osc4","Stukel",0.049,0.313,0
500,"rule",20,"osc4","GiViTI",0.0455,0.1715,0
500,"rule",20,"cloglog_sparse","EDGE.poly2",0.0495,0.0545,0
500,"rule",20,"cloglog_sparse","EDGE.poly3",0.0385,0.0535,0
500,"rule",20,"cloglog_sparse","EDGE.stk",0.041,0.0475,0
500,"rule",20,"cloglog_sparse","HL_F",0.039,0.0555,0
500,"rule",20,"cloglog_sparse","HL",0.058,0.0605,0
500,"rule",20,"cloglog_sparse","HL_w",0.0457976849521892,0.0235943775100402,0.004
500,"rule",20,"cloglog_sparse","Stukel",0.0343622597553873,0.0430748840291584,0.2455
500,"rule",20,"cloglog_sparse","GiViTI",0.057,0.0565,0
2000,"G10",10,"quad","EDGE.poly2",0.044,1,0
2000,"G10",10,"quad","EDGE.poly3",0.0525,1,0
2000,"G10",10,"quad","EDGE.stk",0.0545,1,0.0015
2000,"G10",10,"quad","HL_F",0.051,1,0
2000,"G10",10,"quad","HL",0.0505,1,0
2000,"G10",10,"quad","HL_w",0.055,1,0
2000,"G10",10,"quad","Stukel",0.054,1,0.0365
2000,"G10",10,"quad","GiViTI",0.045,1,0
2000,"G10",10,"binint","EDGE.poly2",0.044,0.9535,0
2000,"G10",10,"binint","EDGE.poly3",0.0525,0.9375,0
2000,"G10",10,"binint","EDGE.stk",0.0545,0.948422633950926,0.0015
2000,"G10",10,"binint","HL_F",0.051,0.809,0
2000,"G10",10,"binint","HL",0.0505,0.8205,0
2000,"G10",10,"binint","HL_w",0.055,0.8455,0
2000,"G10",10,"binint","Stukel",0.054,0.923809523809524,0.0025
2000,"G10",10,"binint","GiViTI",0.045,0.9615,0
2000,"G10",10,"osc4","EDGE.poly2",0.044,0.092,0
2000,"G10",10,"osc4","EDGE.poly3",0.0525,0.809,0
2000,"G10",10,"osc4","EDGE.stk",0.0545,0.922,0
2000,"G10",10,"osc4","HL_F",0.051,1,0
2000,"G10",10,"osc4","HL",0.0505,1,0
2000,"G10",10,"osc4","HL_w",0.055,1,0
2000,"G10",10,"osc4","Stukel",0.054,0.814,0
2000,"G10",10,"osc4","GiViTI",0.045,0.656,0
2000,"G10",10,"cloglog_sparse","EDGE.poly2",0.043,0.055,0
2000,"G10",10,"cloglog_sparse","EDGE.poly3",0.0455,0.053,0
2000,"G10",10,"cloglog_sparse","EDGE.stk",0.047,0.062,0
2000,"G10",10,"cloglog_sparse","HL_F",0.054,0.0385,0
2000,"G10",10,"cloglog_sparse","HL",0.057,0.0485,0
2000,"G10",10,"cloglog_sparse","HL_w",0.0465,0.027,0
2000,"G10",10,"cloglog_sparse","Stukel",0.0461938841899805,0.0359550561797753,0.3325
2000,"G10",10,"cloglog_sparse","GiViTI",0.0475,0.082,0
2000,"rule",80,"quad","EDGE.poly2",0.0555,1,0
2000,"rule",80,"quad","EDGE.poly3",0.0535,1,0
2000,"rule",80,"quad","EDGE.stk",0.047,1,0
