"kind","s","n","G","test","size","power_adj","na"
"temp",0.85,500,20,"EDGE.stk4",0.0545,0.2635,0
"temp",0.85,500,20,"EDGE.poly4",0.051,0.2665,0
"temp",0.85,500,20,"SlopeLRT",0.054,0.2695,0
"temp",0.85,500,20,"EDGE.slope2",0.054,0.304,0
"temp",0.85,500,20,"HL.ext",0.0535,0.1825,0
"temp",0.85,500,20,"GiViTI.ext",0.0535,0.269,0
"asym_hi",0.85,500,20,"EDGE.stk4",0.0545,0.181,0
"asym_hi",0.85,500,20,"EDGE.poly4",0.051,0.188,0
"asym_hi",0.85,500,20,"SlopeLRT",0.054,0.1835,0
"asym_hi",0.85,500,20,"EDGE.slope2",0.054,0.2165,0
"asym_hi",0.85,500,20,"HL.ext",0.0535,0.137,0
"asym_hi",0.85,500,20,"GiViTI.ext",0.0535,0.181590795397699,5e-04
"asym_lo",0.85,500,20,"EDGE.stk4",0.0545,0.1205,0
"asym_lo",0.85,500,20,"EDGE.poly4",0.051,0.1245,0
"asym_lo",0.85,500,20,"SlopeLRT",0.054,0.1105,0
"asym_lo",0.85,500,20,"EDGE.slope2",0.054,0.132,0
"asym_lo",0.85,500,20,"HL.ext",0.0535,0.09,0
"asym_lo",0.85,500,20,"GiViTI.ext",0.0535,0.109,0
"probit_comp",0.85,500,20,"EDGE.stk4",0.0545,0.2235,0
"probit_comp",0.85,500,20,"EDGE.poly4",0.051,0.229,0
"probit_comp",0.85,500,20,"SlopeLRT",0.054,0.2145,0
"probit_comp",0.85,500,20,"EDGE.slope2",0.054,0.2595,0
"probit_comp",0.85,500,20,"HL.ext",0.0535,0.16,0
"probit_comp",0.85,500,20,"GiViTI.ext",0.0535,0.2125,0
"temp",0.7,500,20,"EDGE.stk4",0.0545,0.8965,0
"temp",0.7,500,20,"EDGE.poly4",0.051,0.8985,0
"temp",0.7,500,20,"SlopeLRT",0.054,0.9175,0
"temp",0.7,500,20,"EDGE.slope2",0.054,0.921,0
"temp",0.7,500,20,"HL.ext",0.0535,0.7575,0
"temp",0.7,500,20,"GiViTI.ext",0.0535,0.914,0
"asym_hi",0.7,500,20,"EDGE.stk4",0.0545,0.727,0
"asym_hi",0.7,500,20,"EDGE.poly4",0.051,0.734,0
"asym_hi",0.7,500,20,"SlopeLRT",0.054,0.7115,0
"asym_hi",0.7,500,20,"EDGE.slope2",0.054,0.778,0
"asym_hi",0.7,500,20,"HL.ext",0.0535,0.569,0
"asym_hi",0.7,500,20,"GiViTI.ext",0.0535,0.7035,0
"asym_lo",0.7,500,20,"EDGE.stk4",0.0545,0.456,0
"asym_lo",0.7,500,20,"EDGE.poly4",0.051,0.461,0
"asym_lo",0.7,500,20,"SlopeLRT",0.054,0.413,0
"asym_lo",0.7,500,20,"EDGE.slope2",0.054,0.482,0
"asym_lo",0.7,500,20,"HL.ext",0.0535,0.2925,0
"asym_lo",0.7,500,20,"GiViTI.ext",0.0535,0.409,0
"probit_comp",0.7,500,20,"EDGE.stk4",0.0545,0.902,0
"probit_comp",0.7,500,20,"EDGE.poly4",0.051,0.9065,0
"probit_comp",0.7,500,20,"SlopeLRT",0.054,0.92,0
"probit_comp",0.7,500,20,"EDGE.slope2",0.054,0.9315,0
"probit_comp",0.7,500,20,"HL.ext",0.0535,0.7985,0
"probit_comp",0.7,500,20,"GiViTI.ext",0.0535,0.9165,0
"temp",0.85,1000,40,"EDGE.stk4",0.05,0.4785,0
"temp",0.85,1000,40,"EDGE.poly4",0.0525,0.476,0
"temp",0.85,1000,40,"SlopeLRT",0.047,0.5435,0
"temp",0.85,1000,40,"EDGE.slope2",0.0485,0.561,0
"temp",0.85,1000,40,"HL.ext",0.051,0.286,0
"temp",0.85,1000,40,"GiViTI.ext",0.047,0.542,0
"asym_hi",0.85,1000,40,"EDGE.stk4",0.05,0.312,0
"asym_hi",0.85,1000,40,"EDGE.poly4",0.0525,0.3075,0
"asym_hi",0.85,1000,40,"SlopeLRT",0.047,0.3365,0
"asym_hi",0.85,1000,40,"EDGE.slope2",0.0485,0.382,0
"asym_hi",0.85,1000,40,"HL.ext",0.051,0.1655,0
"asym_hi",0.85,1000,40,"GiViTI.ext",0.047,0.3285,0
"asym_lo",0.85,1000,40,"EDGE.stk4",0.05,0.172,0
"asym_lo",0.85,1000,40,"EDGE.poly4",0.0525,0.1675,0
"asym_lo",0.85,1000,40,"SlopeLRT",0.047,0.1835,0
"asym_lo",0.85,1000,40,"EDGE.slope2",0.0485,0.2035,0
"asym_lo",0.85,1000,40,"HL.ext",0.051,0.111,0
"asym_lo",0.85,1000,40,"GiViTI.ext",0.047,0.183,0
"probit_comp",0.85,1000,40,"EDGE.stk4",0.05,0.381,0
"probit_comp",0.85,1000,40,"EDGE.poly4",0.0525,0.375,0
"probit_comp",0.85,1000,40,"SlopeLRT",0.047,0.4285,0
"probit_comp",0.85,1000,40,"EDGE.slope2",0.0485,0.4665,0
"probit_comp",0.85,1000,40,"HL.ext",0.051,0.232,0
"probit_comp",0.85,1000,40,"GiViTI.ext",0.047,0.4265,0
"temp",0.7,1000,40,"EDGE.stk4",0.05,0.9955,0
"temp",0.7,1000,40,"EDGE.poly4",0.0525,0.9955,0
"temp",0.7,1000,40,"SlopeLRT",0.047,0.9965,0
"temp",0.7,1000,40,"EDGE.slope2",0.0485,0.9965,0
"temp",0.7,1000,40,"HL.ext",0.051,0.942,0
"temp",0.7,1000,40,"GiViTI.ext",0.047,0.996,0
"asym_hi",0.7,1000,40,"EDGE.stk4",0.05,0.953,0
"asym_hi",0.7,1000,40,"EDGE.poly4",0.0525,0.9555,0
"asym_hi",0.7,1000,40,"SlopeLRT",0.047,0.959,0
"asym_hi",0.7,1000,40,"EDGE.slope2",0.0485,0.9755,0
"asym_hi",0.7,1000,40,"HL.ext",0.051,0.772,0
"asym_hi",0.7,1000,40,"GiViTI.ext",0.047,0.9565,0
"asym_lo",0.7,1000,40,"EDGE.stk4",0.05,0.7695,0
"asym_lo",0.7,1000,40,"EDGE.poly4",0.0525,0.7665,0
"asym_lo",0.7,1000,40,"SlopeLRT",0.047,0.766,0
"asym_lo",0.7,1000,40,"EDGE.slope2",0.0485,0.8055,0
"asym_lo",0.7,1000,40,"HL.ext",0.051,0.459,0
"asym_lo",0.7,1000,40,"GiViTI.ext",0.047,0.76,0
"probit_comp",0.7,1000,40,"EDGE.stk4",0.05,0.9975,0
"probit_comp",0.7,1000,40,"EDGE.poly4",0.0525,0.997,0
"probit_comp",0.7,1000,40,"SlopeLRT",0.047,0.9995,0
"probit_comp",0.7,1000,40,"EDGE.slope2",0.0485,0.999,0
"probit_comp",0.7,1000,40,"HL.ext",0.051,0.949,0
"probit_comp",0.7,1000,40,"GiViTI.ext",0.047,0.999,0
"temp",0.85,2000,80,"EDGE.stk4",0.0495,0.7695,0
"temp",0.85,2000,80,"EDGE.poly4",0.0485,0.773,0
"temp",0.85,2000,80,"SlopeLRT",0.0525,0.8285,0
"temp",0.85,2000,80,"EDGE.slope2",0.0535,0.8325,0
"temp",0.85,2000,80,"HL.ext",0.0435,0.432,0
"temp",0.85,2000,80,"GiViTI.ext",0.053,0.8255,0
"asym_hi",0.85,2000,80,"EDGE.stk4",0.0495,0.556,0
"asym_hi",0.85,2000,80,"EDGE.poly4",0.0485,0.558,0
"asym_hi",0.85,2000,80,"SlopeLRT",0.0525,0.5785,0
"asym_hi",0.85,2000,80,"EDGE.slope2",0.0535,0.6265,0
"asym_hi",0.85,2000,80,"HL.ext",0.0435,0.27,0
"asym_hi",0.85,2000,80,"GiViTI.ext",0.053,0.5685,0
"asym_lo",0.85,2000,80,"EDGE.stk4",0.0495,0.3375,0
"asym_lo",0.85,2000,80,"EDGE.poly4",0.0485,0.334,0
"asym_lo",0.85,2000,80,"SlopeLRT",0.0525,0.318,0
"asym_lo",0.85,2000,80,"EDGE.slope2",0.0535,0.3545,0
"asym_lo",0.85,2000,80,"HL.ext",0.0435,0.1435,0
"asym_lo",0.85,2000,80,"GiViTI.ext",0.053,0.316,0
