"decile","mean_pred","obs_rate","n","r_g","gap_pts"
1,0.0661384915645709,0.0493220672037728,5089,-4.82797775003197,-1.68164243607981
2,0.0759569173785951,0.063875786163522,5088,-3.252853530182,-1.20811312150731
3,0.0824441200542562,0.0764544025157233,5088,-1.55343179141397,-0.598971753853295
4,0.0882226672987686,0.0884433962264151,5088,0.0555143817516143,0.0220728927646477
5,0.0939903091519963,0.0976808176100629,5088,0.902109190102866,0.369050845806657
6,0.100240635000537,0.111220279033209,5089,2.60812738031161,1.0979644032672
7,0.108244677171277,0.116548742138365,5088,1.90657847092288,0.830406496708817
8,0.119965949978913,0.132861635220126,5088,2.83123332603623,1.28956852412126
9,0.140592819429566,0.15310534591195,5088,2.5684783107614,1.25125264823832
10,0.236927393260845,0.23565251572327,5088,-0.220680899600023,-0.127487753757408
