"n","G","scen","test","size","power_adj","na"
500,20,"cloglog","EDGE.poly3",0.0425,0.442,0
500,20,"cloglog","EDGE.stk",0.0435,0.315,0
500,20,"cloglog","EDGE.ao",0.045,0.484,0
500,20,"cloglog","EDGE.ao.score",0.041,0.5605,0
500,20,"cloglog","EDGE.ao.poly3",0.042,0.451,0
500,20,"cloglog","HL",0.043,0.091,0
500,20,"cloglog","Stukel",0.0445,0.541,0
500,20,"cloglog","GiViTI",0.045,0.5705,0
500,20,"loglog","EDGE.poly3",0.0425,0.377,0
500,20,"loglog","EDGE.stk",0.0435,0.3075,0
500,20,"loglog","EDGE.ao",0.045,0.3505,0
500,20,"loglog","EDGE.ao.score",0.041,0.432,0
500,20,"loglog","EDGE.ao.poly3",0.042,0.39,0
500,20,"loglog","HL",0.043,0.1185,0
500,20,"loglog","Stukel",0.0445,0.452,0
500,20,"loglog","GiViTI",0.045,0.489,0
1000,40,"cloglog","EDGE.poly3",0.048,0.8015,0
1000,40,"cloglog","EDGE.stk",0.045,0.7645,0
1000,40,"cloglog","EDGE.ao",0.051,0.8855,0
1000,40,"cloglog","EDGE.ao.score",0.0475,0.88,0
1000,40,"cloglog","EDGE.ao.poly3",0.0485,0.8125,0
1000,40,"cloglog","HL",0.0395,0.092,0
1000,40,"cloglog","Stukel",0.049,0.86,0
1000,40,"cloglog","GiViTI",0.049,0.8735,0
1000,40,"loglog","EDGE.poly3",0.048,0.738,0
1000,40,"loglog","EDGE.stk",0.045,0.6885,0
1000,40,"loglog","EDGE.ao",0.051,0.611,0
1000,40,"loglog","EDGE.ao.score",0.0475,0.759,0
1000,40,"loglog","EDGE.ao.poly3",0.0485,0.7465,0
1000,40,"loglog","HL",0.0395,0.177,0
1000,40,"loglog","Stukel",0.049,0.775,0
1000,40,"loglog","GiViTI",0.049,0.8005,0
1000,40,"probit","EDGE.poly3",0.048,0.088,0
1000,40,"probit","EDGE.stk",0.045,0.0675,0
1000,40,"probit","EDGE.ao",0.051,0.061,0
1000,40,"probit","EDGE.ao.score",0.0475,0.0575,0
1000,40,"probit","EDGE.ao.poly3",0.0485,0.086,0
1000,40,"probit","HL",0.0395,0.048,0
1000,40,"probit","Stukel",0.049,0.102,0
1000,40,"probit","GiViTI",0.049,0.054,0
1000,40,"binint","EDGE.poly3",0.048,0.7165,0
1000,40,"binint","EDGE.stk",0.045,0.70956434651978,0.0015
1000,40,"binint","EDGE.ao",0.051,0.72,0
1000,40,"binint","EDGE.ao.score",0.0475,0.7525,0
1000,40,"binint","EDGE.ao.poly3",0.0485,0.7175,0
1000,40,"binint","HL",0.0395,0.294,0
1000,40,"binint","Stukel",0.049,0.654078549848943,0.007
1000,40,"binint","GiViTI",0.049,0.759,0
1000,40,"osc4","EDGE.poly3",0.048,0.5225,0
1000,40,"osc4","EDGE.stk",0.045,0.7045,0
1000,40,"osc4","EDGE.ao",0.051,0.136,0
1000,40,"osc4","EDGE.ao.score",0.0475,0.0815,0
1000,40,"osc4","EDGE.ao.poly3",0.0485,0.521,0
1000,40,"osc4","HL",0.0395,1,0
1000,40,"osc4","Stukel",0.049,0.522,0
1000,40,"osc4","GiViTI",0.049,0.3045,0
2000,80,"cloglog","EDGE.poly3",0.053,0.9895,0
2000,80,"cloglog","EDGE.stk",0.0535,0.988,0
2000,80,"cloglog","EDGE.ao",0.0555,0.998,0
2000,80,"cloglog","EDGE.ao.score",0.0565,0.9955,0
2000,80,"cloglog","EDGE.ao.poly3",0.0535,0.9925,0
2000,80,"cloglog","HL",0.0445,0.1215,0
2000,80,"cloglog","Stukel",0.0535,0.9945,0
2000,80,"cloglog","GiViTI",0.056,0.992,0
2000,80,"loglog","EDGE.poly3",0.053,0.97,0
2000,80,"loglog","EDGE.stk",0.0535,0.9625,0
2000,80,"loglog","EDGE.ao",0.0555,0.8565,0
2000,80,"loglog","EDGE.ao.score",0.0565,0.961,0
2000,80,"loglog","EDGE.ao.poly3",0.0535,0.9715,0
2000,80,"loglog","HL",0.0445,0.2395,0
2000,80,"loglog","Stukel",0.0535,0.978,0
2000,80,"loglog","GiViTI",0.056,0.971,0
5000,200,"probit","EDGE.poly3",0.049,0.254,0
5000,200,"probit","EDGE.stk",0.055,0.2475,0
5000,200,"probit","EDGE.ao",0.046,0.206,0
5000,200,"probit","EDGE.ao.score",0.045,0.1145,0
5000,200,"probit","EDGE.ao.poly3",0.049,0.2535,0
5000,200,"probit","HL",0.042,0.035,0
5000,200,"probit","Stukel",0.0505,0.275,0
5000,200,"probit","GiViTI",0.0435,0.1315,0
