"n","G","scen","test","size","power_adj","power_raw","na"
1000,40,"cloglog","EDGE.poly3",0.052,0.7915,0.7945,0
1000,40,"cloglog","EDGE.poly3.logit",0.0475,0.6715,0.663,0
1000,40,"cloglog","EDGE.sc.poly",0.05,0.7805,0.7885,0
1000,40,"cloglog","EDGE.sc.stk",0.0505,0.805,0.81,0
1000,40,"cloglog","EDGE.sc.AO",0.0495,0.881,0.88,0
1000,40,"cloglog","EDGE.sc.AO2",0.0455,0.783,0.7725,0
1000,40,"cloglog","EDGE.sc.poly4",0.052,0.6725,0.681,0
1000,40,"cloglog","HL",0.0465,0.0865,0.0825,0
1000,40,"cloglog","Stukel",0.0505,0.857,0.8585,0
1000,40,"cloglog","GiViTI",0.0485,0.8715,0.8635,0
1000,40,"probit","EDGE.poly3",0.052,0.0655,0.0685,0
1000,40,"probit","EDGE.poly3.logit",0.0475,0.0445,0.0415,0
1000,40,"probit","EDGE.sc.poly",0.05,0.058,0.0605,0
1000,40,"probit","EDGE.sc.stk",0.0505,0.0605,0.0615,0
1000,40,"probit","EDGE.sc.AO",0.0495,0.0485,0.048,0
1000,40,"probit","EDGE.sc.AO2",0.0455,0.0565,0.054,0
1000,40,"probit","EDGE.sc.poly4",0.052,0.046,0.048,0
1000,40,"probit","HL",0.0465,0.043,0.038,0
1000,40,"probit","Stukel",0.0505,0.083,0.084,0
1000,40,"probit","GiViTI",0.0485,0.049,0.0455,0
1000,40,"quad","EDGE.poly3",0.052,1,1,0
1000,40,"quad","EDGE.poly3.logit",0.0475,1,1,0
1000,40,"quad","EDGE.sc.poly",0.05,1,1,0
1000,40,"quad","EDGE.sc.stk",0.0505,1,1,0
1000,40,"quad","EDGE.sc.AO",0.0495,1,1,0
1000,40,"quad","EDGE.sc.AO2",0.0455,1,1,0
1000,40,"quad","EDGE.sc.poly4",0.052,1,1,0
1000,40,"quad","HL",0.0465,1,1,0
1000,40,"quad","Stukel",0.0505,1,1,0.0745
1000,40,"quad","GiViTI",0.0485,1,1,0
1000,40,"binint","EDGE.poly3",0.052,0.7035,0.7055,0
1000,40,"binint","EDGE.poly3.logit",0.0475,0.6975,0.6905,0
1000,40,"binint","EDGE.sc.poly",0.05,0.695,0.702,0
1000,40,"binint","EDGE.sc.stk",0.0505,0.7145,0.72,0
1000,40,"binint","EDGE.sc.AO",0.0495,0.7445,0.7425,0
1000,40,"binint","EDGE.sc.AO2",0.0455,0.6935,0.682,0
1000,40,"binint","EDGE.sc.poly4",0.052,0.651,0.6595,0
1000,40,"binint","HL",0.0465,0.28,0.273,0
1000,40,"binint","Stukel",0.0505,0.654097536450478,0.655103066867773,0.0055
1000,40,"binint","GiViTI",0.0485,0.7645,0.755,0
1000,40,"osc4","EDGE.poly3",0.052,0.5225,0.5245,0
1000,40,"osc4","EDGE.poly3.logit",0.0475,0.7265,0.7225,0
1000,40,"osc4","EDGE.sc.poly",0.05,0.6175,0.6225,0
1000,40,"osc4","EDGE.sc.stk",0.0505,0.523,0.529,0
1000,40,"osc4","EDGE.sc.AO",0.0495,0.09,0.0895,0
1000,40,"osc4","EDGE.sc.AO2",0.0455,0.2305,0.218,0
1000,40,"osc4","EDGE.sc.poly4",0.052,0.546,0.5585,0
1000,40,"osc4","HL",0.0465,1,1,0
1000,40,"osc4","Stukel",0.0505,0.525,0.526,0
1000,40,"osc4","GiViTI",0.0485,0.3225,0.313,0
500,20,"cloglog","EDGE.poly3",0.0465,0.441,0.4295,0
500,20,"cloglog","EDGE.poly3.logit",0.043,0.3195,0.291,0
500,20,"cloglog","EDGE.sc.poly",0.0445,0.4035,0.389,0
500,20,"cloglog","EDGE.sc.stk",0.046,0.4555,0.4435,0
500,20,"cloglog","EDGE.sc.AO",0.044,0.5585,0.5435,0
500,20,"cloglog","EDGE.sc.AO2",0.04,0.4615,0.431,0
500,20,"cloglog","EDGE.sc.poly4",0.046,0.3245,0.3155,0
500,20,"cloglog","HL",0.0525,0.0705,0.0725,0
500,20,"cloglog","Stukel",0.0485,0.537,0.5315,0
500,20,"cloglog","GiViTI",0.0445,0.597,0.575,0
5000,200,"probit","EDGE.poly3",0.0425,0.272,0.2435,0
5000,200,"probit","EDGE.poly3.logit",0.0405,0.2195,0.1885,0
5000,200,"probit","EDGE.sc.poly",0.0375,0.27,0.237,0
5000,200,"probit","EDGE.sc.stk",0.043,0.266,0.245,0
5000,200,"probit","EDGE.sc.AO",0.0465,0.121,0.1125,0
5000,200,"probit","EDGE.sc.AO2",0.042,0.199,0.1855,0
5000,200,"probit","EDGE.sc.poly4",0.038,0.2225,0.188,0
5000,200,"probit","HL",0.0475,0.032,0.029,0
5000,200,"probit","Stukel",0.042,0.291,0.2645,0
5000,200,"probit","GiViTI",0.0455,0.116,0.111,0
