"scenario","shape","n","G","alpha","test","reject_rate","mcse","B","A_delta","mcse_diff_vs_HL","mcse_diff_vs_EF"
"crossover",NA,1000,10,0.01,"DEF.poly2",0.0254,0.00222507707731665,5000,0.0052515814601584,0.00257681974534503,0.00256124969497314
"crossover",NA,1000,10,0.05,"DEF.poly2",0.0906,0.00405935068699417,5000,0.0052515814601584,0.0046690470119715,0.0046776062254106
"crossover",NA,1000,10,0.1,"DEF.poly2",0.1464,0.00499934075653981,5000,0.0052515814601584,0.0060398675482166,0.00604317797189525
"crossover",NA,1000,10,0.01,"DEF.poly3",0.0216,0.00205589104769684,5000,0.0052515814601584,0.00240831891575846,0.00239165214862028
"crossover",NA,1000,10,0.05,"DEF.poly3",0.0784,0.00380140605565888,5000,0.0052515814601584,0.00436348484585429,0.00437264222181509
"crossover",NA,1000,10,0.1,"DEF.poly3",0.1406,0.00491592595550421,5000,0.0052515814601584,0.00563205113613149,0.00562849891178811
"crossover",NA,1000,10,0.01,"DEF.stukel",0.0158,0.00176353962246387,5000,0.0052515814601584,0.00233238075793812,0.00231516738055805
"crossover",NA,1000,10,0.05,"DEF.stukel",0.069,0.00358438279205779,5000,0.0052515814601584,0.00432203655699486,0.00432203655699486
"crossover",NA,1000,10,0.1,"DEF.stukel",0.1238,0.004657758259077,5000,0.0052515814601584,0.00551724568965349,0.00553534100123922
"crossover",NA,1000,10,0.01,"EF",0.0174,0.00184917495116065,5000,0.0052515814601584,0.000282842712474619,0
"crossover",NA,1000,10,0.05,"EF",0.0724,0.00366492128155572,5000,0.0052515814601584,0.000489897948556636,0
"crossover",NA,1000,10,0.1,"EF",0.131,0.00477156158924937,5000,0.0052515814601584,6e-04,0
"crossover",NA,1000,10,0.01,"HL",0.0178,0.00186992834087299,5000,0.0052515814601584,0,0.000282842712474619
"crossover",NA,1000,10,0.05,"HL",0.0716,0.00364618814654428,5000,0.0052515814601584,0,0.000489897948556636
"crossover",NA,1000,10,0.1,"HL",0.1316,0.00478082503340166,5000,0.0052515814601584,0,6e-04
"crossover",NA,1000,10,0.01,"HL-equalwidth",0.0238,0.00215562334372218,5000,0.0052515814601584,0.00256124969497314,0.00254558441227157
"crossover",NA,1000,10,0.05,"HL-equalwidth",0.089,0.00402688465193628,5000,0.0052515814601584,0.00450333209967908,0.00451220566907139
"crossover",NA,1000,10,0.1,"HL-equalwidth",0.1556,0.00512618064449547,5000,0.0052515814601584,0.00563560112144215,0.00563914887194867
"crossover",NA,1000,10,0.01,"Pigeon-Heyse",0.0098,0.00139312311013779,5000,0.0052515814601584,0.00126491106406735,0.0012328828005938
"crossover",NA,1000,10,0.05,"Pigeon-Heyse",0.046,0.00296256645495084,5000,0.0052515814601584,0.00226274169979695,0.00229782505861521
"crossover",NA,1000,10,0.1,"Pigeon-Heyse",0.0904,0.00405531355137923,5000,0.0052515814601584,0.00287054001888146,0.002849561369755
"crossover",NA,1000,10,0.01,"Stukel",0.0674,0.00354562378150869,5000,0.0052515814601584,0.00373095162123553,0.00373095162123553
"crossover",NA,1000,10,0.05,"Stukel",0.1418,0.00493341180117776,5000,0.0052515814601584,0.0054881690936049,0.0054881690936049
"crossover",NA,1000,10,0.1,"Stukel",0.2022,0.00568005563353036,5000,0.0052515814601584,0.00649615270756469,0.00648690989609074
"crossover",NA,1000,10,0.01,"Tsiatis",0.8114,0.00553226969696887,5000,0.0052515814601584,0.0126269552941317,0.0126301227230776
"crossover",NA,1000,10,0.05,"Tsiatis",0.9386,0.00339499749631719,5000,0.0052515814601584,0.0131863565855015,0.0131833227981416
"crossover",NA,1000,10,0.1,"Tsiatis",0.969,0.00245108139399735,5000,0.0052515814601584,0.0129722781345452,0.0129769025580067
"crossover",NA,1000,10,0.01,"Xie",0.7822,0.00583717671481685,5000,0.0052515814601584,0.0123870900537616,0.0123903188013868
"crossover",NA,1000,10,0.05,"Xie",0.9148,0.0039481884453506,5000,0.0052515814601584,0.0130291979799219,0.013026127590347
"crossover",NA,1000,10,0.1,"Xie",0.9596,0.00278452293939195,5000,0.0052515814601584,0.0129120099132552,0.012916655913974
"crossover",NA,2000,10,0.01,"DEF.poly2",0.02,0.00197989898732233,5000,0.0052515814601584,0.00235796522451032,0.00235796522451032
"crossover",NA,2000,10,0.05,"DEF.poly2",0.0732,0.00368352439926764,5000,0.0052515814601584,0.00439089968002003,0.00439545219516718
"crossover",NA,2000,10,0.1,"DEF.poly2",0.1372,0.00486572009059296,5000,0.0052515814601584,0.00588557558782486,0.00587877538267963
"crossover",NA,2000,10,0.01,"DEF.poly3",0.0198,0.00197017562668915,5000,0.0052515814601584,0.00222710574513201,0.00222710574513201
"crossover",NA,2000,10,0.05,"DEF.poly3",0.078,0.00379251895183136,5000,0.0052515814601584,0.0043081318457076,0.00431277173056956
"crossover",NA,2000,10,0.1,"DEF.poly3",0.137,0.00486273585546244,5000,0.0052515814601584,0.00556776436283002,0.00557494394590654
"crossover",NA,2000,10,0.01,"DEF.stukel",0.0152,0.00173025778426222,5000,0.0052515814601584,0.00208806130178211,0.00208806130178211
"crossover",NA,2000,10,0.05,"DEF.stukel",0.0774,0.00377913323395723,5000,0.0052515814601584,0.0044226688774992,0.00442718872423573
"crossover",NA,2000,10,0.1,"DEF.stukel",0.1306,0.00476536756189908,5000,0.0052515814601584,0.00553895296965049,0.00555337735076593
"crossover",NA,2000,10,0.01,"EF",0.0166,0.00180690010791964,5000,0.0052515814601584,0,0
"crossover",NA,2000,10,0.05,"EF",0.0694,0.00359398497492686,5000,0.0052515814601584,0.000346410161513775,0
"crossover",NA,2000,10,0.1,"EF",0.134,0.00481755124518671,5000,0.0052515814601584,0.000565685424949238,0
"crossover",NA,2000,10,0.01,"HL",0.0166,0.00180690010791964,5000,0.0052515814601584,0,0
