"family","param","n","G","test","reject_rate","mcse"
"link","cloglog",1000,6,"DEF.poly2",0.772,0.0059332284634927
"link","cloglog",1000,6,"DEF.poly3",0.7162,0.0063758538251751
"link","cloglog",1000,6,"DEF.stukel",0.754,0.00609071424383052
"link","cloglog",1000,6,"EF",0.608,0.00690414368332525
"link","cloglog",1000,6,"HL",0.54,0.00704840407468244
"link","cloglog",1000,6,"HL-equalwidth",0.4324,0.00700614358973608
"link","cloglog",1000,6,"Pigeon-Heyse",0.4148,0.00696765326347401
"link","cloglog",1000,6,"Stukel",0.8692,0.00476846642013971
"link","cloglog",1000,6,"Tsiatis",0.422,0.00698449711861921
"link","cloglog",1000,6,"Xie",0.2894,0.00641323069910946
"link","cloglog",1000,8,"DEF.poly2",0.7936,0.00572361843591971
"link","cloglog",1000,8,"DEF.poly3",0.7412,0.00619390926636805
"link","cloglog",1000,8,"DEF.stukel",0.7558,0.00607562935011674
"link","cloglog",1000,8,"EF",0.55,0.00703562363973514
"link","cloglog",1000,8,"HL",0.4712,0.00705932801334518
"link","cloglog",1000,8,"HL-equalwidth",0.4732,0.00706090305839133
"link","cloglog",1000,8,"Pigeon-Heyse",0.3712,0.00683243089976035
"link","cloglog",1000,8,"Stukel",0.8702,0.0047529350931819
"link","cloglog",1000,8,"Tsiatis",0.3946,0.00691217534499813
"link","cloglog",1000,8,"Xie",0.2928,0.00643534241513224
"link","cloglog",1000,10,"DEF.poly2",0.7998,0.00565897446539565
"link","cloglog",1000,10,"DEF.poly3",0.7594,0.00604502506198279
"link","cloglog",1000,10,"DEF.stukel",0.7524,0.00610400262123142
"link","cloglog",1000,10,"EF",0.496,0.00707084153407499
"link","cloglog",1000,10,"HL",0.4,0.00692820323027551
"link","cloglog",1000,10,"HL-equalwidth",0.4724,0.00706028667973192
"link","cloglog",1000,10,"Pigeon-Heyse",0.3118,0.00655104205451316
"link","cloglog",1000,10,"Stukel",0.863,0.00486273585546244
"link","cloglog",1000,10,"Tsiatis",0.3542,0.006763761675281
"link","cloglog",1000,10,"Xie",0.2898,0.00641585473651017
"link","cloglog",1000,12,"DEF.poly2",0.8042,0.00561181539254456
"link","cloglog",1000,12,"DEF.poly3",0.7696,0.005955095969
"link","cloglog",1000,12,"DEF.stukel",0.7448,0.00616559745685688
"link","cloglog",1000,12,"EF",0.4476,0.00703212969163681
"link","cloglog",1000,12,"HL",0.3412,0.00670496174485731
"link","cloglog",1000,12,"HL-equalwidth",0.4714,0.0070594906331831
"link","cloglog",1000,12,"Pigeon-Heyse",0.275,0.00631466547015754
"link","cloglog",1000,12,"Stukel",0.862,0.00487762237160689
"link","cloglog",1000,12,"Tsiatis",0.3234,0.00661532221437475
"link","cloglog",1000,12,"Xie",0.2882,0.00640532216207741
"link","cloglog",1000,14,"DEF.poly2",0.8212,0.00541905083939983
"link","cloglog",1000,14,"DEF.poly3",0.788,0.00578024220945801
"link","cloglog",1000,14,"DEF.stukel",0.7564,0.00607056900133752
"link","cloglog",1000,14,"EF",0.4222,0.006984943235274
"link","cloglog",1000,14,"HL",0.3042,0.00650634090714589
"link","cloglog",1000,14,"HL-equalwidth",0.454,0.00704107946269604
"link","cloglog",1000,14,"Pigeon-Heyse",0.2372,0.00601558243231692
"link","cloglog",1000,14,"Stukel",0.8842,0.00452527037866247
"link","cloglog",1000,14,"Tsiatis",0.296,0.00645575712058624
"link","cloglog",1000,14,"Xie",0.288,0.00640399875078064
"link","cloglog",1000,20,"DEF.poly2",0.8254,0.00536870263657804
"link","cloglog",1000,20,"DEF.poly3",0.7858,0.0058020403307802
"link","cloglog",1000,20,"DEF.stukel",0.746,0.00615603768669426
"link","cloglog",1000,20,"EF",0.336,0.00667988023844739
"link","cloglog",1000,20,"HL",0.2126,0.00578621188689111
"link","cloglog",1000,20,"HL-equalwidth",0.387,0.00688812020801031
"link","cloglog",1000,20,"Pigeon-Heyse",0.1644,0.0052416150182935
"link","cloglog",1000,20,"Stukel",0.876,0.00466098701993473
"link","cloglog",1000,20,"Tsiatis",0.2192,0.00585066423579409
"link","cloglog",1000,20,"Xie",0.2942,0.00644432091069338
