"family","n","G","test","alpha","null_size","mcse","size_ok"
"quad",200,10,"DEF.poly2",0.01,0.0118,0.00107984998958189,TRUE
"quad",200,10,"DEF.poly2",0.05,0.0506,0.00219179469841498,TRUE
"quad",200,10,"DEF.poly2",0.1,0.0997,0.00299599582776746,TRUE
"quad",200,10,"DEF.poly3",0.01,0.0089,0.000939190608982011,TRUE
"quad",200,10,"DEF.poly3",0.05,0.0502,0.00218357413430366,TRUE
"quad",200,10,"DEF.poly3",0.1,0.0987,0.00298258797020306,TRUE
"quad",200,10,"DEF.stukel",0.01,0.0083,0.000907254650029417,TRUE
"quad",200,10,"DEF.stukel",0.05,0.0486,0.00215030323442997,TRUE
"quad",200,10,"DEF.stukel",0.1,0.0985,0.00297989513238302,TRUE
"quad",200,10,"EF",0.01,0.0091,0.000949588858401361,TRUE
"quad",200,10,"EF",0.05,0.0469,0.00211424667434999,TRUE
"quad",200,10,"EF",0.1,0.0968,0.00295685238048841,TRUE
"quad",200,10,"HL",0.01,0.0097,0.000980097444135021,TRUE
"quad",200,10,"HL",0.05,0.0465,0.00210565310533335,TRUE
"quad",200,10,"HL",0.1,0.0977,0.00296908588626197,TRUE
"quad",200,10,"HL-equalwidth",0.01,0.0088,0.000933946465275178,TRUE
"quad",200,10,"HL-equalwidth",0.05,0.0502,0.00218357413430366,TRUE
"quad",200,10,"HL-equalwidth",0.1,0.0992,0.0029893035978301,TRUE
"quad",200,10,"Pigeon-Heyse",0.01,0.005,0.000705336798983294,FALSE
"quad",200,10,"Pigeon-Heyse",0.05,0.0289,0.001675254905977,FALSE
"quad",200,10,"Pigeon-Heyse",0.1,0.0622,0.00241518446500469,FALSE
"quad",200,10,"Stukel",0.01,0.0247,0.00155209245858615,FALSE
"quad",200,10,"Stukel",0.05,0.0699,0.00254978410850801,FALSE
"quad",200,10,"Stukel",0.1,0.1161,0.00320344798615492,FALSE
"quad",200,10,"Tsiatis",0.01,0.009,0.000944404574321832,TRUE
"quad",200,10,"Tsiatis",0.05,0.0453,0.00207961318518613,TRUE
"quad",200,10,"Tsiatis",0.1,0.0955,0.0029390432116592,TRUE
"quad",200,10,"Xie",0.01,0.0058,0.000759365524632242,FALSE
"quad",200,10,"Xie",0.05,0.0363,0.00187035584849515,FALSE
"quad",200,10,"Xie",0.1,0.0758,0.00264677841913523,FALSE
"binint",200,10,"DEF.poly2",0.01,0.0109,0.00103832509360027,TRUE
"binint",200,10,"DEF.poly2",0.05,0.0536,0.0022522664140816,TRUE
"binint",200,10,"DEF.poly2",0.1,0.1005,0.00300665511823355,TRUE
"binint",200,10,"DEF.poly3",0.01,0.009,0.000944404574321832,TRUE
"binint",200,10,"DEF.poly3",0.05,0.048,0.00213766227454198,TRUE
"binint",200,10,"DEF.poly3",0.1,0.1008,0.00301063714186881,TRUE
"binint",200,10,"DEF.stukel",0.01,0.0096,0.000975081535052326,TRUE
"binint",200,10,"DEF.stukel",0.05,0.0483,0.00214399416976819,TRUE
"binint",200,10,"DEF.stukel",0.1,0.0966,0.00295412322017887,TRUE
"binint",200,10,"EF",0.01,0.008,0.000890842298052804,TRUE
"binint",200,10,"EF",0.05,0.0467,0.00210995521279481,TRUE
"binint",200,10,"EF",0.1,0.0936,0.00291271419813204,TRUE
"binint",200,10,"HL",0.01,0.0076,0.0008684607072286,TRUE
"binint",200,10,"HL",0.05,0.0464,0.00210349803898173,TRUE
"binint",200,10,"HL",0.1,0.0942,0.00292106761304835,TRUE
"binint",200,10,"HL-equalwidth",0.01,0.0093,0.000959870303739,TRUE
"binint",200,10,"HL-equalwidth",0.05,0.0545,0.00227001651976368,TRUE
"binint",200,10,"HL-equalwidth",0.1,0.1007,0.00300931071842042,TRUE
"binint",200,10,"Pigeon-Heyse",0.01,0.0045,0.000669309345519693,FALSE
"binint",200,10,"Pigeon-Heyse",0.05,0.0301,0.00170862488569024,FALSE
"binint",200,10,"Pigeon-Heyse",0.1,0.0628,0.0024260288539092,FALSE
"binint",200,10,"Stukel",0.01,0.0244,0.00154287523798913,FALSE
"binint",200,10,"Stukel",0.05,0.0717,0.0025799052308176,FALSE
"binint",200,10,"Stukel",0.1,0.1197,0.00324610397245683,FALSE
"binint",200,10,"Tsiatis",0.01,0.0078,0.000879724957017817,TRUE
"binint",200,10,"Tsiatis",0.05,0.0479,0.00213554653426237,TRUE
"binint",200,10,"Tsiatis",0.1,0.0987,0.00298258797020306,TRUE
"binint",200,10,"Xie",0.01,0.0039,0.000623280835578955,FALSE
"binint",200,10,"Xie",0.05,0.0278,0.00164399391726369,FALSE
"binint",200,10,"Xie",0.1,0.0584,0.00234498272914749,FALSE
"contint",200,10,"DEF.poly2",0.01,0.0104,0.00101448706250992,TRUE
"contint",200,10,"DEF.poly2",0.05,0.0548,0.0022758945494025,TRUE
"contint",200,10,"DEF.poly2",0.1,0.1087,0.00311262445534311,TRUE
"contint",200,10,"DEF.poly3",0.01,0.011,0.00104302444841912,TRUE
"contint",200,10,"DEF.poly3",0.05,0.0536,0.0022522664140816,TRUE
"contint",200,10,"DEF.poly3",0.1,0.1045,0.00305908074427597,TRUE
"contint",200,10,"DEF.stukel",0.01,0.0125,0.00111102430216445,TRUE
"contint",200,10,"DEF.stukel",0.05,0.0477,0.00213130734526956,TRUE
"contint",200,10,"DEF.stukel",0.1,0.0996,0.00299465924605789,TRUE
"contint",200,10,"EF",0.01,0.0076,0.0008684607072286,TRUE
"contint",200,10,"EF",0.05,0.0473,0.00212279791784334,TRUE
"contint",200,10,"EF",0.1,0.1001,0.003001332870576,TRUE
"contint",200,10,"HL",0.01,0.0073,0.000851276100921434,TRUE
"contint",200,10,"HL",0.05,0.0471,0.00211852755469453,TRUE
"contint",200,10,"HL",0.1,0.1004,0.00300532593906218,TRUE
"contint",200,10,"HL-equalwidth",0.01,0.0162,0.00126244049364713,FALSE
"contint",200,10,"HL-equalwidth",0.05,0.0597,0.0023693017958884,FALSE
"contint",200,10,"HL-equalwidth",0.1,0.1069,0.0030898606764707,TRUE
"contint",200,10,"Pigeon-Heyse",0.01,0.0042,0.000646711682281989,FALSE
"contint",200,10,"Pigeon-Heyse",0.05,0.0284,0.00166112732805165,FALSE
"contint",200,10,"Pigeon-Heyse",0.1,0.0646,0.00245818713689581,FALSE
"contint",200,10,"Stukel",0.01,0.0231,0.00150221136994765,FALSE
