"family","param","n","G","alpha","test","reject_rate","power_size_adj","size_at_cell","B","mcse"
"quad","0.01",200,10,0.01,"DEF.poly2",0.0134,0.007,0.0118,10000,0.00114980172203733
"quad","0.01",200,10,0.05,"DEF.poly2",0.0643,0.052,0.0506,10000,0.00245286587484925
"quad","0.01",200,10,0.1,"DEF.poly2",0.1154,0.1034,0.0997,10000,0.00319504053182428
"quad","0.01",200,10,0.01,"DEF.poly3",0.012,0.0108,0.0089,10000,0.0010888526071053
"quad","0.01",200,10,0.05,"DEF.poly3",0.0563,0.0492,0.0502,10000,0.00230500130151807
"quad","0.01",200,10,0.1,"DEF.poly3",0.1093,0.0986,0.0987,10000,0.00312015240012407
"quad","0.01",200,10,0.01,"DEF.stukel",0.0294,0.0345,0.0083,10000,0.00168924953751659
"quad","0.01",200,10,0.05,"DEF.stukel",0.0663,0.0753,0.0486,10000,0.00248805767618036
"quad","0.01",200,10,0.1,"DEF.stukel",0.1086,0.122,0.0985,10000,0.00311136690218303
"quad","0.01",200,10,0.01,"EF",0.0114,0.0116,0.0091,10000,0.00106160444610976
"quad","0.01",200,10,0.05,"EF",0.0454,0.0486,0.0469,10000,0.00208179826111946
"quad","0.01",200,10,0.1,"EF",0.0914,0.095,0.0968,10000,0.00288177098326706
"quad","0.01",200,10,0.01,"HL",0.022,0.0223,0.0097,10000,0.00146683332386471
"quad","0.01",200,10,0.05,"HL",0.0705,0.0754,0.0465,10000,0.00255987792677698
"quad","0.01",200,10,0.1,"HL",0.1199,0.123,0.0977,10000,0.00324844562829671
"quad","0.01",200,10,0.01,"HL-equalwidth",0.0067,0.0232,0.0088,10000,0.000815788575551288
"quad","0.01",200,10,0.05,"HL-equalwidth",0.0429,0.1085,0.0502,10000,0.00202631660902239
"quad","0.01",200,10,0.1,"HL-equalwidth",0.0918,0.2057,0.0992,10000,0.00288743415509341
"quad","0.01",200,10,0.01,"Pigeon-Heyse",0.0163,0.0226,0.005,10000,0.00126626655961531
"quad","0.01",200,10,0.05,"Pigeon-Heyse",0.0487,0.0773,0.0289,10000,0.00215240121724552
"quad","0.01",200,10,0.1,"Pigeon-Heyse",0.0896,0.1241,0.0622,10000,0.00285607843029564
"quad","0.01",200,10,0.01,"Stukel",0.0293,0.0121,0.0247,10000,0.00168646108760327
"quad","0.01",200,10,0.05,"Stukel",0.0813,0.0596,0.0699,10000,0.00273295279871424
"quad","0.01",200,10,0.1,"Stukel",0.1299,0.1149,0.1161,10000,0.00336193381850387
"quad","0.01",200,10,0.01,"Tsiatis",0.025,0.0268,0.009,10000,0.0015612494995996
"quad","0.01",200,10,0.05,"Tsiatis",0.0756,0.0791,0.0453,10000,0.00264357031304257
"quad","0.01",200,10,0.1,"Tsiatis",0.1259,0.1311,0.0955,10000,0.00331736627462208
"quad","0.01",200,10,0.01,"Xie",0.0209,0.028,0.0058,10000,0.00143049606780305
"quad","0.01",200,10,0.05,"Xie",0.0598,0.076,0.0363,10000,0.00237115921017548
"quad","0.01",200,10,0.1,"Xie",0.1015,0.1258,0.0758,10000,0.00301989652140599
"quad","0.02",200,10,0.01,"DEF.poly2",0.0756,0.055,0.0118,10000,0.00264357031304257
"quad","0.02",200,10,0.05,"DEF.poly2",0.1872,0.1663,0.0506,10000,0.00390071993355073
"quad","0.02",200,10,0.1,"DEF.poly2",0.2694,0.2537,0.0997,10000,0.00443648103793987
"quad","0.02",200,10,0.01,"DEF.poly3",0.0571,0.053,0.0089,10000,0.00232033596705305
"quad","0.02",200,10,0.05,"DEF.poly3",0.1537,0.1424,0.0502,10000,0.00360660934951375
"quad","0.02",200,10,0.1,"DEF.poly3",0.2397,0.2258,0.0987,10000,0.004269003513702
"quad","0.02",200,10,0.01,"DEF.stukel",0.107,0.1176,0.0083,10000,0.00309113247855863
"quad","0.02",200,10,0.05,"DEF.stukel",0.188,0.1994,0.0486,10000,0.0039071217027372
