"model","test","statistic","df","pvalue"
"linear_ndrgtx","Pearson",580.222195465788,567,0.341126127833496
"linear_ndrgtx","Deviance",619.24826224458,567,0.0635111494329245
"linear_ndrgtx","Osius-Rojek",1.53442029540699,NA,0.124926287816072
"linear_ndrgtx","McCullagh",0.681131604492104,NA,0.24789411037625
"linear_ndrgtx","Copas-RSS",0.0755797070691787,1,0.939753481690694
"linear_ndrgtx","Information-Matrix",11.2642153919451,8,0.187173095124594
"linear_ndrgtx","HL",5.75916375269677,8,0.674188418752808
"linear_ndrgtx","HL-equalwidth",4.78168091598052,4,0.310440617273777
"linear_ndrgtx","Pigeon-Heyse",5.1231750729685,9,0.823441251381349
"linear_ndrgtx","F-test",0.790688084315571,9,0.625101485060485
"linear_ndrgtx","EF",-0.457359007494633,8,0.628132768282708
"linear_ndrgtx","EF-normal",-0.457359007494633,8,0.676293488313735
"linear_ndrgtx","DEF.poly2",0.45665966849662,1.08386484263045,0.501410101948788
"linear_ndrgtx","DEF.poly3",1.42185459030853,2.07388193774288,0.478066795534455
"linear_ndrgtx","DEF.stukel",0.0827046871287616,1.03088733424269,0.693324287150485
"linear_ndrgtx","Stukel",1.90395603510064,2,0.385976798996546
"linear_ndrgtx","Tsiatis",9.66605214446269,9,0.378190261158129
"linear_ndrgtx","Xie",12.0034402789723,7.5,0.124248603393582
"linear_ndrgtx","Pulkstenis-Robinson",41.5880723322039,42,0.48891588813838
"linear_ndrgtx","le-Cessie",47.8435390317905,41.757919224743,0.239393371325532
"linear_ndrgtx","HL-GAM",9.06872687017905,8,0.33653147524782
"linear_ndrgtx","PR-GAM",41.5859851952514,42,0.489007182870911
"linear_ndrgtx","Xie-GAM",13.6172906308835,6,0.0342159845572136
"linear_ndrgtx","Stute-Zhu",0.0188629899955861,NA,0.16
"linear_ndrgtx","eHL",0.11783386681326,NA,1
"linear_ndrgtx","GiViTI",NA,NA,0.814482205470785
"linear_ndrgtx","GiViTI-external",NA,NA,1
"linear_ndrgtx","BAGofT",NA,NA,NA
"linear_ndrgtx","Lai-Liu-HL",0.415,NA,NA
"linear_ndrgtx","Ensemble.Vote(3DEF)",NA,NA,0.565927445669215
"linear_ndrgtx","Ensemble.Univ(3DEF+EF)",NA,NA,0.582172942521195
"linear_ndrgtx","proj(Escanciano-Liu)",0.0316080404261756,NA,0.228
"hosmer_model19","Pearson",600.691499756997,565,0.144590156153289
"hosmer_model19","Deviance",609.752354310374,565,0.0938525858216849
"hosmer_model19","Osius-Rojek",2.69222214491028,NA,0.00709776508511662
"hosmer_model19","McCullagh",2.04896650092628,NA,0.0202326953591063
"hosmer_model19","Copas-RSS",-1.84767497173275,1,0.0646493767581155
"hosmer_model19","Information-Matrix",14.8232641648103,10,0.138639412059019
"hosmer_model19","HL",2.38762069965663,8,0.966765454513978
"hosmer_model19","HL-equalwidth",6.95814428716809,5,0.223771829632384
"hosmer_model19","Pigeon-Heyse",3.1711528956169,9,0.957120729162369
"hosmer_model19","F-test",0.512699354446128,9,0.865780608584732
"hosmer_model19","EF",-1.5340627751365,8,0.984907732757946
"hosmer_model19","EF-normal",-1.5340627751365,8,0.937492894999043
"hosmer_model19","DEF.poly2",0.0366320928157119,1.07581534736333,0.860452178881448
"hosmer_model19","DEF.poly3",1.48743895151392,2.06489037264963,0.459076789670516
"hosmer_model19","DEF.stukel",0.175614561440939,1.02932478924179,0.595366340950079
"hosmer_model19","Stukel",5.76232222903421,2,0.056069621771528
"hosmer_model19","Tsiatis",15.7889145641292,9,0.0714226076246632
"hosmer_model19","Xie",13.6352454573288,8.5,0.112529360330955
"hosmer_model19","Pulkstenis-Robinson",40.0236345739489,42,0.558042793013556
"hosmer_model19","le-Cessie",49.4685966547533,50.2509184360049,0.504706001679306
"hosmer_model19","HL-GAM",NA,NA,NA
"hosmer_model19","PR-GAM",NA,NA,NA
"hosmer_model19","Xie-GAM",NA,NA,NA
"hosmer_model19","Stute-Zhu",0.00803731536773611,NA,0.665
"hosmer_model19","eHL",0.414176640697419,NA,1
"hosmer_model19","GiViTI",NA,NA,0.114377421364858
"hosmer_model19","GiViTI-external",NA,NA,1
"hosmer_model19","BAGofT",NA,NA,NA
"hosmer_model19","Lai-Liu-HL",0.36,NA,NA
"hosmer_model19","Ensemble.Vote(3DEF)",NA,NA,0.709040699492679
"hosmer_model19","Ensemble.Univ(3DEF+EF)",NA,NA,0.946081152613324
"hosmer_model19","proj(Escanciano-Liu)",0.0924506205857094,NA,0
