"model","test","family","statistic","df","pvalue","note"
"linear_ndrgtx","Pearson","Global",580.222195465788,567,0.341126127833496,""
"linear_ndrgtx","Deviance","Global",619.24826224458,567,0.0635111494329245,""
"linear_ndrgtx","Osius-Rojek","Standardized",1.53442029540699,NA,0.124926287816072,""
"linear_ndrgtx","McCullagh","Standardized",0.681131604492104,NA,0.24789411037625,""
"linear_ndrgtx","Copas-RSS","Standardized",0.0755797070691787,1,0.939753481690694,""
"linear_ndrgtx","Information-Matrix","Global",11.2642153919451,8,0.187173095124594,""
"linear_ndrgtx","HL","Partition",5.75916375269677,8,0.674188418752808,""
"linear_ndrgtx","HL-equalwidth","Partition",4.78168091598052,4,0.310440617273777,""
"linear_ndrgtx","Pigeon-Heyse","Partition",5.1231750729685,9,0.823441251381349,""
"linear_ndrgtx","F-test","Partition",0.790688084315571,9,0.625101485060485,"deviance residuals ~ groups (ANOVA F)"
"linear_ndrgtx","EF","Standardized",-0.457359007494633,8,0.628132768282708,""
"linear_ndrgtx","EF-normal","Standardized",-0.457359007494633,8,0.676293488313735,"normal reference (thesis)"
"linear_ndrgtx","DEF.poly2","Directed",0.45665966849662,1.08386484263045,0.501410101948788,""
"linear_ndrgtx","DEF.poly3","Directed",1.42185459030853,2.07388193774288,0.478066795534455,""
"linear_ndrgtx","DEF.stukel","Directed",0.0827046871287616,1.03088733424269,0.693324287150485,""
"linear_ndrgtx","Stukel","Directed",1.90395603510064,2,0.385976798996546,""
"linear_ndrgtx","Tsiatis","Covariate-space",9.66605214446269,9,0.378190261158129,""
"linear_ndrgtx","Xie","Covariate-space",12.0034402789723,7.5,0.124248603393582,""
"linear_ndrgtx","Pulkstenis-Robinson","Covariate-space",41.5880723322039,42,0.48891588813838,"split on categorical: IVHX, RACE, TREAT, SITE"
"linear_ndrgtx","le-Cessie","Smoothing",47.8435390317905,41.757919224743,0.239393371325532,""
"linear_ndrgtx","HL-GAM","GAM",9.06872687017905,8,0.33653147524782,""
"linear_ndrgtx","PR-GAM","GAM",41.5859851952514,42,0.489007182870911,""
"linear_ndrgtx","Xie-GAM","GAM",13.6172906308835,6,0.0342159845572136,""
"linear_ndrgtx","Stute-Zhu","Bootstrap",0.0188629899955861,NA,0.205,"200 bootstrap reps"
"linear_ndrgtx","eHL","Calibration",0.186816177651663,NA,1,"e-value test (reported as p = min(1, 1/e))"
"linear_ndrgtx","GiViTI","Calibration",NA,NA,0.814482205470785,"calibration belt; devel=internal"
"linear_ndrgtx","GiViTI-external","Calibration",NA,NA,1,"calibration belt; devel=external"
"linear_ndrgtx","BAGofT","Bootstrap",NA,NA,NA,"Not run: BAGofT computation failed"
"linear_ndrgtx","Lai-Liu-HL","Bootstrap",0.395,NA,NA,"standardized power=0.395 (n0=575); decision: REJECT H0 (lack of fit)"
"linear_ndrgtx","Ensemble.Vote(3DEF)","Ensemble",NA,NA,0.565927445669215,"Cauchy combination of the directed tests"
"linear_ndrgtx","Ensemble.Univ(3DEF+EF)","Ensemble",NA,NA,0.582172942521195,"Cauchy combination of the directed tests"
"spline_ndrgtx","Pearson","Global",572.738154151607,565,0.401693965011982,""
"spline_ndrgtx","Deviance","Global",614.686632782496,565,0.0726206418542004,""
"spline_ndrgtx","Osius-Rojek","Standardized",1.05371267904245,NA,0.292014482257434,""
"spline_ndrgtx","McCullagh","Standardized",-0.323015335702967,NA,0.626658186049564,""
"spline_ndrgtx","Copas-RSS","Standardized",1.05412949941809,1,0.291823631987774,""
"spline_ndrgtx","Information-Matrix","Global",19.7728893712112,10,0.0314754459030389,""
"spline_ndrgtx","HL","Partition",5.11558568569458,8,0.745153778650654,""
"spline_ndrgtx","HL-equalwidth","Partition",2.67055617583574,4,0.614376646318584,""
"spline_ndrgtx","Pigeon-Heyse","Partition",5.84203151194475,9,0.755618464478715,""
"spline_ndrgtx","F-test","Partition",0.698039526708214,9,0.71095842792831,"deviance residuals ~ groups (ANOVA F)"
"spline_ndrgtx","EF","Standardized",-0.510706155885361,8,0.652029019189042,""
"spline_ndrgtx","EF-normal","Standardized",-0.510706155885361,8,0.69522158521676,"normal reference (thesis)"
"spline_ndrgtx","DEF.poly2","Directed",1.31606114352398,1.07328675812447,0.222658173502784,""
"spline_ndrgtx","DEF.poly3","Directed",1.4309857978576,2.05466440886763,0.46301369248079,""
"spline_ndrgtx","DEF.stukel","Directed",0.725839602264994,1.03206499326073,0.216744697236084,""
"spline_ndrgtx","Stukel","Directed",1.68780272702193,2,0.430029544931889,""
"spline_ndrgtx","Tsiatis","Covariate-space",17.9671072822055,9,0.0355570765715272,""
"spline_ndrgtx","Xie","Covariate-space",16.2287626068658,8.5,0.0497977834615588,""
"spline_ndrgtx","Pulkstenis-Robinson","Covariate-space",39.3563258233311,42,0.587658224977609,"split on categorical: IVHX, RACE, TREAT, SITE"
"spline_ndrgtx","le-Cessie","Smoothing",54.8739136911791,56.2410944227388,0.526680991454301,""
"spline_ndrgtx","HL-GAM","GAM",NA,NA,NA,"install 'mgcv' / no covariates"
"spline_ndrgtx","PR-GAM","GAM",NA,NA,NA,"install 'mgcv' / no covariates"
"spline_ndrgtx","Xie-GAM","GAM",NA,NA,NA,"install 'mgcv' / no covariates"
"spline_ndrgtx","Stute-Zhu","Bootstrap",0.0149987265964541,NA,0.205,"200 bootstrap reps"
"spline_ndrgtx","eHL","Calibration",0.0869740177294273,NA,1,"e-value test (reported as p = min(1, 1/e))"
"spline_ndrgtx","GiViTI","Calibration",NA,NA,0.340232966333278,"calibration belt; devel=internal"
"spline_ndrgtx","GiViTI-external","Calibration",NA,NA,1,"calibration belt; devel=external"
"spline_ndrgtx","BAGofT","Bootstrap",NA,NA,NA,"Not run: BAGofT computation failed"
"spline_ndrgtx","Lai-Liu-HL","Bootstrap",NA,NA,NA,"no valid resamples"
"spline_ndrgtx","Ensemble.Vote(3DEF)","Ensemble",NA,NA,0.276403919833047,"Cauchy combination of the directed tests"
"spline_ndrgtx","Ensemble.Univ(3DEF+EF)","Ensemble",NA,NA,0.351027564753008,"Cauchy combination of the directed tests"
